Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Michael Saunders,Blue Jays,558,10.6%,28.1%,0.38,0.253,0.338,0.478,0.815,0.224,3.0,0.321,1.4,-1.4,-0.9,79,13.5,0.348,119,9981
Jason Kipnis,Indians,688,8.7%,21.2%,0.41,0.275,0.343,0.469,0.811,0.193,5.4,0.324,1.9,-2.5,1.4,98,16.5,0.347,114,9776
Chris Carter,Brewers,644,11.8%,32.0%,0.37,0.222,0.321,0.499,0.821,0.277,2.9,0.260,-3.1,-1.1,-0.1,91,14.9,0.346,113,9911
Asdrubal Cabrera,Mets,568,6.7%,18.1%,0.37,0.280,0.336,0.474,0.810,0.194,3.4,0.310,-2.7,-1.4,0.3,80,12.8,0.345,120,4962
Stephen Piscotty,Cardinals,649,7.9%,20.5%,0.38,0.273,0.343,0.457,0.800,0.184,4.1,0.319,-2.0,-0.6,-1.0,91,14.5,0.345,116,13367
Yasmany Tomas,Diamondbacks,563,5.5%,24.2%,0.23,0.272,0.313,0.508,0.820,0.236,2.5,0.310,-1.9,-2.2,-1.5,79,12.3,0.345,109,17171
Elvis Andrus,Rangers,568,8.3%,12.3%,0.67,0.302,0.362,0.439,0.800,0.136,6.7,0.333,3.1,-2.3,1.2,79,12.3,0.344,109,8709
Adam Eaton,White Sox,706,8.9%,16.3%,0.55,0.284,0.362,0.428,0.790,0.144,5.9,0.329,2.2,2.0,0.3,98,14.8,0.344,117,11205
Bryce Harper,Nationals,627,17.2%,18.7%,0.92,0.243,0.373,0.441,0.814,0.198,4.6,0.264,1.1,1.4,-0.3,87,13.0,0.343,111,11579
Mike Napoli,Indians,645,12.1%,30.1%,0.40,0.239,0.335,0.465,0.800,0.226,3.7,0.296,-5.4,-0.2,0.2,89,13.0,0.343,111,3057
Anthony Rendon,Nationals,647,10.0%,18.1%,0.56,0.270,0.348,0.450,0.797,0.180,4.6,0.304,2.1,1.5,-0.4,89,13.0,0.342,110,12861
Melky Cabrera,White Sox,646,7.3%,10.7%,0.68,0.296,0.345,0.455,0.800,0.159,3.4,0.314,-2.4,-1.2,0.0,89,12.9,0.342,116,4022
Danny Valencia,Athletics,517,7.9%,22.2%,0.36,0.287,0.346,0.446,0.792,0.159,2.7,0.346,-0.7,-0.4,-0.5,71,10.1,0.342,117,6364
Yadier Molina,Cardinals,581,6.7%,10.8%,0.62,0.307,0.360,0.427,0.787,0.120,2.3,0.335,-4.0,-2.9,-0.6,80,11.3,0.342,114,7007
Wil Myers,Padres,676,10.1%,23.7%,0.43,0.259,0.336,0.461,0.797,0.202,6.3,0.305,4.3,0.5,2.8,93,13.0,0.341,114,10047
Buster Posey,Giants,614,10.4%,11.1%,0.94,0.288,0.362,0.434,0.796,0.147,4.1,0.303,-2.3,-1.4,0.4,84,11.6,0.341,114,9166
Francisco Lindor,Indians,684,8.3%,12.9%,0.65,0.301,0.358,0.435,0.794,0.134,5.5,0.324,0.2,-0.7,1.3,93,12.6,0.340,109,12916
Kole Calhoun,Angels,672,10.0%,17.6%,0.57,0.271,0.348,0.438,0.786,0.167,3.7,0.309,0.9,1.8,-1.2,91,12.3,0.340,117,11200
Chris Davis,Orioles,665,13.2%,32.9%,0.40,0.221,0.332,0.459,0.792,0.239,2.3,0.279,2.0,2.3,-0.2,90,12.0,0.340,113,9272
Jay Bruce,- - -,589,7.5%,21.4%,0.35,0.250,0.309,0.506,0.815,0.256,4.4,0.266,-3.1,0.3,-0.3,80,10.4,0.340,111,9892
Curtis Granderson,Mets,633,11.7%,20.5%,0.57,0.237,0.335,0.464,0.799,0.228,4.4,0.254,2.2,0.0,-0.3,86,11.0,0.339,116,4747
Kendrys Morales,Royals,618,7.8%,19.4%,0.40,0.263,0.327,0.468,0.795,0.204,0.8,0.283,-1.7,-2.4,-0.3,83,10.6,0.339,111,8610
Odubel Herrera,Phillies,656,9.6%,20.4%,0.47,0.286,0.361,0.420,0.781,0.134,6.3,0.349,-0.8,1.4,1.7,88,10.6,0.338,110,11476
Rougned Odor,Rangers,632,3.0%,21.4%,0.14,0.271,0.296,0.502,0.798,0.231,5.5,0.297,1.5,2.7,-0.3,84,9.3,0.336,103,12282
Logan Forsythe,Rays,567,8.1%,22.4%,0.36,0.264,0.333,0.444,0.778,0.180,4.5,0.314,2.6,-0.8,-1.6,75,8.2,0.336,113,7185
Ian Desmond,Rangers,677,6.5%,23.6%,0.28,0.285,0.335,0.446,0.782,0.162,6.0,0.350,3.8,0.4,1.4,90,9.8,0.336,103,6885
Martin Prado,Marlins,658,7.4%,10.5%,0.71,0.305,0.359,0.417,0.775,0.112,2.6,0.331,1.2,-2.3,-0.8,87,9.4,0.335,112,3312
Cesar Hernandez,Phillies,622,10.6%,18.6%,0.57,0.294,0.371,0.393,0.764,0.099,5.7,0.363,2.2,1.0,-2.4,82,8.5,0.335,108,10556
Adrian Gonzalez,Dodgers,633,8.7%,18.5%,0.47,0.285,0.349,0.435,0.784,0.150,1.4,0.328,-3.0,-0.7,-1.2,83,8.5,0.334,111,1908
Matt Kemp,- - -,672,5.4%,23.2%,0.23,0.268,0.304,0.499,0.803,0.231,2.2,0.297,-0.2,-0.4,-0.1,88,8.5,0.333,108,5631
J.T. Realmuto,Marlins,545,5.1%,18.3%,0.28,0.303,0.343,0.428,0.771,0.126,3.7,0.357,1.1,-0.4,0.4,71,6.8,0.333,111,11739
Brad Miller,Rays,601,7.8%,24.8%,0.32,0.243,0.304,0.482,0.786,0.239,4.9,0.277,0.5,1.6,-0.7,78,7.5,0.333,111,12775
Adam Duvall,Reds,608,6.7%,27.0%,0.25,0.241,0.297,0.498,0.795,0.257,5.3,0.275,0.6,1.4,-1.1,79,7.4,0.333,104,10950
Gregory Polanco,Pirates,587,9.0%,20.3%,0.45,0.258,0.323,0.463,0.786,0.205,5.6,0.291,-1.3,0.7,0.7,75,6.3,0.331,106,12907
Albert Pujols,Angels,650,7.5%,11.5%,0.65,0.268,0.323,0.457,0.780,0.189,2.5,0.260,-5.4,-1.3,0.5,83,6.7,0.331,110,1177
Marcell Ozuna,Marlins,608,7.1%,18.9%,0.37,0.266,0.321,0.452,0.773,0.187,3.6,0.296,0.0,0.5,-1.5,77,5.9,0.330,109,10324
Justin Upton,Tigers,626,8.0%,28.6%,0.28,0.246,0.310,0.465,0.775,0.219,4.2,0.301,1.5,0.0,-0.1,80,5.7,0.329,105,5222
Andrew McCutchen,Pirates,675,10.2%,21.2%,0.48,0.256,0.336,0.430,0.766,0.174,3.4,0.297,-1.0,0.5,-2.0,85,5.9,0.329,105,9847
Jayson Werth,Nationals,606,11.7%,22.9%,0.51,0.244,0.335,0.417,0.752,0.173,3.4,0.288,3.6,-1.7,0.2,76,4.6,0.327,100,1327
Joe Mauer,Twins,576,13.7%,16.1%,0.85,0.261,0.363,0.389,0.752,0.128,3.6,0.301,-1.7,-0.4,0.0,72,4.1,0.327,102,1857
Brandon Crawford,Giants,623,9.1%,18.5%,0.50,0.275,0.342,0.430,0.772,0.156,5.9,0.322,1.0,1.5,1.1,78,4.4,0.327,105,5343
Yunel Escobar,Angels,567,7.1%,11.8%,0.60,0.304,0.355,0.391,0.745,0.087,2.2,0.339,-0.9,-3.3,-1.6,71,4.0,0.327,107,4191
Troy Tulowitzki,Blue Jays,544,7.9%,18.6%,0.43,0.254,0.318,0.443,0.761,0.189,1.5,0.272,-1.9,-0.8,-0.1,68,3.8,0.327,104,3531
Eric Hosmer,Royals,667,8.5%,19.8%,0.43,0.266,0.328,0.433,0.761,0.167,2.8,0.301,-2.6,-2.3,-0.6,83,4.4,0.326,102,3516
Todd Frazier,White Sox,666,9.6%,24.5%,0.39,0.225,0.302,0.464,0.767,0.239,4.0,0.236,-0.4,0.5,0.6,83,4.2,0.326,105,785
Angel Pagan,Giants,543,7.7%,12.2%,0.64,0.277,0.331,0.418,0.750,0.141,5.9,0.298,1.0,-0.3,1.1,66,2.5,0.324,102,2918
Eduardo Nunez,- - -,595,4.9%,14.8%,0.33,0.288,0.325,0.432,0.758,0.145,6.6,0.314,-1.7,1.0,3.6,73,2.7,0.324,101,6848
Russell Martin,Blue Jays,535,12.0%,27.7%,0.43,0.231,0.335,0.398,0.733,0.167,2.2,0.291,-1.5,0.0,-0.3,65,1.6,0.322,101,4616
Nick Markakis,Braves,684,10.4%,14.8%,0.70,0.269,0.346,0.397,0.744,0.129,1.3,0.300,-0.9,-0.5,-1.2,82,1.4,0.321,98,5930
Jonathan Schoop,Orioles,647,3.2%,21.2%,0.15,0.267,0.298,0.454,0.752,0.187,2.4,0.305,0.6,-0.5,-0.9,77,1.2,0.320,99,11265
Ender Inciarte,Braves,578,7.8%,11.8%,0.66,0.291,0.351,0.381,0.732,0.090,6.3,0.329,3.4,1.1,0.0,68,0.3,0.319,97,4922
Didi Gregorius,Yankees,597,3.2%,13.7%,0.23,0.276,0.304,0.447,0.751,0.171,4.3,0.290,1.7,1.2,0.7,71,0.2,0.319,97,6012
Corey Dickerson,Rays,548,6.0%,24.5%,0.25,0.245,0.293,0.469,0.761,0.224,2.7,0.285,-0.2,0.4,-1.0,65,0.2,0.319,101,10762
Adam Jones,Orioles,672,5.8%,17.1%,0.34,0.265,0.310,0.436,0.746,0.171,2.6,0.280,2.2,-0.8,0.0,79,0.2,0.319,98,6368
Nomar Mazara,Rangers,568,6.9%,19.7%,0.35,0.266,0.320,0.419,0.739,0.153,2.4,0.299,-2.9,0.6,-1.1,67,0.1,0.318,91,14553
Brett Gardner,Yankees,634,11.0%,16.7%,0.66,0.261,0.351,0.362,0.713,0.101,6.0,0.310,4.5,1.5,1.1,74,-0.5,0.317,96,9927
Addison Russell,Cubs,598,9.2%,22.6%,0.41,0.238,0.321,0.417,0.738,0.179,4.3,0.277,-0.4,1.2,0.3,70,-0.8,0.316,95,14106
Eugenio Suarez,Reds,627,8.1%,24.7%,0.33,0.248,0.317,0.411,0.728,0.163,4.4,0.304,-1.3,0.3,-0.2,73,-1.0,0.316,93,12552
Cheslor Cuthbert,Royals,510,6.3%,18.8%,0.33,0.274,0.318,0.413,0.731,0.139,2.7,0.320,-3.5,-0.8,0.1,59,-0.9,0.316,95,10473
Marcus Semien,Athletics,621,8.2%,22.4%,0.37,0.238,0.300,0.435,0.735,0.197,4.4,0.268,-1.5,0.1,0.9,72,-1.6,0.315,98,12533
Brandon Phillips,Reds,584,3.1%,11.6%,0.26,0.291,0.320,0.416,0.736,0.125,4.4,0.312,-0.9,-1.7,-0.8,67,-1.6,0.315,92,791
Scooter Gennett,Brewers,542,7.0%,21.0%,0.33,0.263,0.317,0.412,0.728,0.149,4.1,0.315,-3.7,0.0,0.9,62,-1.6,0.315,92,10339
Starlin Castro,Yankees,610,3.9%,19.3%,0.20,0.270,0.300,0.433,0.734,0.163,3.1,0.305,-1.2,-0.8,0.5,69,-2.7,0.313,93,4579
Zack Cozart,Reds,508,7.3%,16.5%,0.44,0.252,0.308,0.425,0.732,0.172,4.2,0.274,0.3,-1.0,0.2,57,-2.4,0.312,90,2616
Chase Utley,Dodgers,565,7.1%,20.4%,0.35,0.252,0.319,0.396,0.716,0.145,3.9,0.299,0.3,2.0,-0.7,64,-2.9,0.312,96,1679
Denard Span,Giants,637,8.3%,12.4%,0.67,0.266,0.331,0.381,0.712,0.115,4.6,0.291,2.9,0.7,-0.8,72,-3.5,0.312,94,8347
Maikel Franco,Phillies,630,6.3%,16.8%,0.38,0.255,0.306,0.427,0.733,0.172,1.9,0.271,-0.9,0.0,-0.5,71,-3.6,0.311,92,12179
Chase Headley,Yankees,529,9.6%,22.3%,0.43,0.251,0.329,0.383,0.712,0.133,3.9,0.303,3.0,0.6,0.5,59,-3.3,0.311,92,4720
Travis Shaw,Red Sox,530,8.1%,25.1%,0.32,0.242,0.306,0.421,0.726,0.179,4.4,0.299,-2.5,1.1,0.4,59,-3.7,0.310,88,11982
Jacoby Ellsbury,Yankees,626,8.6%,13.4%,0.64,0.263,0.330,0.374,0.703,0.111,5.7,0.295,2.3,-0.2,0.4,69,-5.0,0.308,90,4727
Adonis Garcia,Braves,563,4.3%,16.5%,0.26,0.273,0.311,0.406,0.717,0.133,2.7,0.308,0.0,-1.0,-0.5,62,-4.6,0.308,90,13777
Salvador Perez,Royals,546,4.0%,21.8%,0.18,0.247,0.288,0.438,0.725,0.191,2.0,0.280,-3.7,-0.4,-0.2,60,-4.8,0.308,89,7304
Mitch Moreland,Rangers,503,7.0%,23.5%,0.30,0.233,0.298,0.422,0.720,0.189,1.7,0.266,-3.4,1.3,0.0,55,-4.4,0.307,83,3086
Stephen Vogt,Athletics,532,6.6%,15.6%,0.42,0.251,0.305,0.406,0.711,0.155,2.0,0.275,0.1,0.8,-0.3,57,-5.9,0.305,91,5000
Jordy Mercer,Pirates,584,8.7%,14.2%,0.61,0.256,0.328,0.374,0.701,0.118,3.0,0.286,2.7,1.2,-0.5,62,-7.0,0.304,88,6547
Howie Kendrick,Dodgers,543,9.2%,17.7%,0.52,0.255,0.326,0.366,0.691,0.111,4.8,0.301,4.0,-2.5,0.9,57,-6.6,0.303,90,4229
Alex Gordon,Royals,506,10.3%,29.2%,0.35,0.220,0.312,0.380,0.692,0.160,5.0,0.288,-0.1,-0.2,0.9,53,-6.5,0.303,86,5209
Josh Harrison,Pirates,522,3.4%,14.6%,0.24,0.283,0.311,0.388,0.699,0.105,6.8,0.323,0.6,0.5,1.9,54,-7.5,0.301,86,8202
Joe Panik,Giants,526,9.5%,8.9%,1.06,0.239,0.315,0.379,0.695,0.140,5.9,0.245,1.5,-0.1,0.7,54,-7.9,0.300,86,11936
Yonder Alonso,Athletics,532,8.5%,13.9%,0.61,0.253,0.316,0.367,0.683,0.114,2.5,0.284,-1.5,-1.2,-0.1,54,-8.5,0.299,87,2530
Marwin Gonzalez,Astros,518,4.2%,22.8%,0.19,0.254,0.293,0.401,0.694,0.147,5.1,0.311,-0.4,-1.4,-0.3,53,-8.5,0.298,89,5497
Leonys Martin,Mariners,576,7.6%,25.9%,0.30,0.247,0.306,0.378,0.684,0.131,6.2,0.313,2.0,0.6,2.0,58,-9.7,0.298,89,11846
Melvin Upton Jr.,- - -,539,6.9%,28.8%,0.24,0.238,0.291,0.402,0.693,0.165,6.2,0.300,2.2,1.3,1.9,54,-9.2,0.297,84,5015
Kevin Pillar,Blue Jays,584,4.1%,15.4%,0.27,0.266,0.303,0.376,0.679,0.109,4.7,0.306,2.6,-1.0,0.0,58,-11.3,0.295,82,12434
Danny Espinosa,Nationals,601,9.0%,29.0%,0.31,0.209,0.306,0.378,0.684,0.169,3.7,0.261,1.0,3.2,0.7,59,-12.0,0.294,78,9219
Freddy Galvis,Phillies,624,4.0%,21.8%,0.18,0.241,0.274,0.399,0.673,0.158,5.0,0.280,0.6,-0.3,0.7,56,-17.4,0.284,74,6609
Jose Iglesias,Tigers,513,5.5%,9.7%,0.56,0.255,0.306,0.336,0.643,0.081,3.6,0.276,2.5,-0.3,-0.5,46,-14.8,0.283,74,10231
Jason Heyward,Cubs,592,9.1%,15.7%,0.58,0.230,0.306,0.325,0.631,0.094,4.2,0.266,1.4,0.5,0.2,52,-17.8,0.282,72,4940
Alcides Escobar,Royals,682,4.0%,14.1%,0.28,0.261,0.292,0.350,0.642,0.089,5.4,0.295,-1.4,-1.1,1.4,58,-22.7,0.278,69,6310
Alexei Ramirez,- - -,506,4.2%,12.5%,0.33,0.241,0.277,0.333,0.610,0.092,3.4,0.265,-0.2,-0.1,-2.3,37,-22.6,0.264,63,5133
Adeiny Hechavarria,Marlins,547,6.0%,13.3%,0.45,0.236,0.283,0.311,0.594,0.075,4.0,0.269,1.6,0.3,-0.1,36,-28.0,0.256,59,10459
