Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
David Ortiz,Red Sox,626,12.8%,13.7%,0.93,0.315,0.401,0.620,1.021,0.305,2.2,0.312,-7.4,-2.5,0.1,126,52.2,0.419,163,745
Mike Trout,Angels,681,17.0%,20.1%,0.85,0.315,0.441,0.550,0.991,0.235,6.6,0.371,3.5,3.5,2.6,136,56.2,0.418,170,10155
Joey Votto,Reds,677,16.0%,17.7%,0.90,0.326,0.434,0.550,0.985,0.225,3.9,0.366,-3.5,-0.2,0.7,133,53.1,0.413,158,4314
Daniel Murphy,Nationals,582,6.0%,9.8%,0.61,0.347,0.390,0.595,0.985,0.249,4.4,0.348,1.4,2.3,-0.5,112,43.4,0.408,154,4316
Josh Donaldson,Blue Jays,700,15.6%,17.0%,0.92,0.284,0.404,0.549,0.953,0.265,5.1,0.300,-0.1,-0.4,0.5,131,49.0,0.403,157,5038
Freddie Freeman,Braves,693,12.8%,24.7%,0.52,0.302,0.400,0.569,0.968,0.267,4.8,0.370,-1.5,2.0,0.4,129,47.7,0.402,152,5361
Miguel Cabrera,Tigers,679,11.0%,17.1%,0.65,0.316,0.393,0.563,0.956,0.247,1.3,0.336,-6.2,-3.0,-0.4,125,45.0,0.399,153,1744
Kris Bryant,Cubs,699,10.7%,22.0%,0.49,0.292,0.385,0.554,0.939,0.262,4.5,0.332,3.0,5.0,-0.9,127,45.1,0.396,148,15429
Charlie Blackmon,Rockies,641,6.7%,15.9%,0.42,0.324,0.381,0.552,0.933,0.228,5.9,0.350,1.9,1.7,-0.7,116,40.1,0.394,132,7859
DJ LeMahieu,Rockies,635,10.4%,12.6%,0.83,0.348,0.416,0.495,0.911,0.147,5.6,0.388,3.2,-2.0,-1.1,113,38.4,0.391,130,9874
Anthony Rizzo,Cubs,676,10.9%,16.0%,0.69,0.292,0.385,0.544,0.928,0.252,3.2,0.309,-2.5,1.6,-1.8,120,40.7,0.391,145,3473
Jose Altuve,Astros,717,8.4%,9.8%,0.86,0.338,0.396,0.531,0.928,0.194,5.8,0.347,-0.9,-0.2,1.5,127,42.9,0.391,152,5417
Nolan Arenado,Rockies,696,9.8%,14.8%,0.66,0.294,0.362,0.570,0.932,0.275,3.8,0.293,0.3,0.0,-1.2,121,39.0,0.386,126,9777
J.D. Martinez,Tigers,517,9.5%,24.8%,0.38,0.307,0.373,0.535,0.908,0.228,2.7,0.378,-1.9,-0.7,-0.9,89,28.0,0.384,143,6184
Nelson Cruz,Mariners,667,9.3%,23.8%,0.39,0.287,0.360,0.555,0.915,0.268,2.8,0.320,-3.1,-0.1,0.0,114,35.8,0.383,148,2434
Paul Goldschmidt,Diamondbacks,705,15.6%,21.3%,0.73,0.297,0.411,0.489,0.899,0.192,5.7,0.358,1.2,0.1,3.9,120,37.1,0.382,133,9218
Mookie Betts,Red Sox,730,6.7%,11.0%,0.61,0.318,0.363,0.534,0.897,0.216,6.4,0.322,6.7,0.8,3.1,123,36.9,0.379,136,13611
Ryan Braun,Brewers,564,8.2%,17.4%,0.47,0.305,0.365,0.538,0.903,0.233,5.0,0.326,0.4,-1.8,0.8,94,27.8,0.378,134,3410
Matt Carpenter,Cardinals,566,14.3%,19.1%,0.75,0.271,0.380,0.505,0.885,0.235,4.0,0.307,-2.0,0.9,-2.0,93,26.6,0.375,136,8090
Brandon Belt,Giants,655,15.9%,22.6%,0.70,0.275,0.394,0.474,0.868,0.199,3.7,0.346,-3.2,2.3,-2.1,107,30.1,0.374,136,10264
Edwin Encarnacion,Blue Jays,702,12.4%,19.7%,0.63,0.263,0.357,0.529,0.886,0.266,2.2,0.270,-1.1,-1.2,0.0,115,31.9,0.373,136,2151
Corey Seager,Dodgers,687,7.9%,19.4%,0.41,0.308,0.365,0.512,0.877,0.204,4.1,0.355,2.5,0.9,-1.0,112,30.6,0.372,136,13624
Adrian Beltre,Rangers,640,7.5%,10.3%,0.73,0.300,0.358,0.521,0.879,0.221,2.1,0.293,-1.3,0.8,-0.6,103,28.1,0.371,127,639
Jean Segura,Diamondbacks,694,5.6%,14.6%,0.39,0.319,0.368,0.499,0.867,0.181,6.8,0.353,2.3,0.6,2.1,112,30.3,0.371,126,5933
Robinson Cano,Mariners,715,6.6%,14.0%,0.47,0.298,0.350,0.533,0.882,0.235,2.2,0.299,-0.7,-0.5,-0.8,115,30.7,0.370,139,3269
Brian Dozier,Twins,691,8.8%,20.0%,0.44,0.268,0.340,0.546,0.886,0.278,6.1,0.280,2.6,0.3,2.5,111,29.5,0.370,132,9810
Carlos Santana,Indians,688,14.4%,14.4%,1.00,0.259,0.366,0.498,0.865,0.239,3.5,0.258,0.7,-1.6,-0.2,110,29.4,0.370,130,2396
Yoenis Cespedes,Mets,543,9.4%,19.9%,0.47,0.280,0.354,0.530,0.884,0.251,2.9,0.298,0.4,-0.8,-0.1,87,22.8,0.369,136,13110
Christian Yelich,Marlins,659,10.9%,20.9%,0.52,0.298,0.376,0.483,0.859,0.185,3.9,0.356,3.1,-0.6,-0.2,104,26.8,0.367,134,11477
Hanley Ramirez,Red Sox,620,9.7%,19.4%,0.50,0.286,0.361,0.505,0.866,0.219,3.7,0.315,-0.7,-0.4,0.2,98,25.2,0.367,127,8001
Dexter Fowler,Cubs,551,14.3%,22.5%,0.64,0.276,0.393,0.447,0.840,0.171,6.5,0.350,4.2,1.3,0.6,87,22.2,0.367,129,4062
Manny Machado,Orioles,696,6.9%,17.2%,0.40,0.294,0.343,0.533,0.876,0.239,2.3,0.309,1.5,0.2,-1.6,110,27.6,0.366,131,11493
Kyle Seager,Mariners,676,10.2%,16.0%,0.64,0.278,0.359,0.499,0.859,0.221,3.4,0.295,-0.5,-1.4,-0.2,105,24.9,0.363,134,9785
Jonathan Lucroy,- - -,544,8.6%,18.4%,0.47,0.292,0.355,0.500,0.855,0.208,4.3,0.322,-0.4,-0.8,0.7,84,19.5,0.362,123,7870
Wilson Ramos,Nationals,523,6.7%,15.1%,0.44,0.307,0.354,0.496,0.850,0.189,0.9,0.327,-4.6,-1.8,-0.3,80,18.7,0.361,123,1433
Carlos Gonzalez,Rockies,632,7.3%,20.4%,0.36,0.298,0.350,0.505,0.855,0.207,3.0,0.346,-2.4,1.5,-0.7,97,22.6,0.361,110,7287
Ben Zobrist,Cubs,631,15.2%,13.0%,1.17,0.272,0.386,0.446,0.831,0.174,4.0,0.290,4.2,-1.5,-0.9,96,21.8,0.360,124,7435
Carlos Beltran,- - -,593,5.9%,17.0%,0.35,0.295,0.337,0.513,0.850,0.217,1.8,0.315,-2.0,-1.0,-0.1,90,19.6,0.358,122,589
Mark Trumbo,Orioles,667,7.6%,25.5%,0.30,0.256,0.316,0.533,0.850,0.277,2.9,0.278,-1.1,-0.4,0.1,101,22.0,0.358,125,6876
Dustin Pedroia,Red Sox,698,8.7%,10.5%,0.84,0.318,0.376,0.449,0.825,0.131,3.5,0.339,-0.9,-2.7,-0.7,105,23.0,0.358,121,8370
Ian Kinsler,Tigers,679,6.6%,16.9%,0.39,0.288,0.348,0.484,0.831,0.196,5.8,0.314,2.7,1.3,-0.1,101,21.4,0.356,124,6195
Jonathan Villar,Brewers,679,11.6%,25.6%,0.45,0.285,0.369,0.457,0.826,0.171,6.4,0.373,-1.2,0.1,4.6,101,21.0,0.356,120,10071
Jose Ramirez,Indians,618,7.1%,10.0%,0.71,0.312,0.363,0.462,0.825,0.150,5.5,0.333,6.7,0.7,1.2,91,18.6,0.355,119,13510
Jose Bautista,Blue Jays,517,16.8%,19.9%,0.84,0.234,0.366,0.452,0.817,0.217,2.5,0.255,-1.5,-3.1,-0.7,76,15.5,0.355,123,1887
Jackie Bradley Jr.,Red Sox,636,9.9%,22.5%,0.44,0.267,0.349,0.486,0.835,0.219,5.9,0.312,3.3,1.2,0.6,94,18.9,0.354,118,12984
Justin Turner,Dodgers,622,7.7%,17.2%,0.45,0.275,0.339,0.493,0.832,0.218,3.8,0.293,-0.1,0.2,0.1,91,17.9,0.353,123,5235
George Springer,Astros,744,11.8%,23.9%,0.49,0.261,0.359,0.457,0.815,0.196,4.7,0.317,2.3,0.2,-2.8,109,21.4,0.353,126,12856
Jake Lamb,Diamondbacks,594,10.8%,25.9%,0.42,0.249,0.332,0.509,0.840,0.260,5.9,0.294,4.6,-0.7,0.5,87,16.8,0.352,114,13329
Starling Marte,Pirates,529,4.3%,19.7%,0.22,0.311,0.362,0.456,0.818,0.145,7.7,0.380,1.7,0.9,4.2,77,14.3,0.351,120,9241
Victor Martinez,Tigers,610,8.2%,14.8%,0.56,0.289,0.351,0.476,0.826,0.186,0.8,0.303,-7.9,-1.8,-0.4,88,16.4,0.351,120,393
Evan Longoria,Rays,685,6.1%,21.0%,0.29,0.273,0.318,0.521,0.840,0.248,2.7,0.298,0.6,1.0,-1.5,99,18.0,0.350,123,9368
Khris Davis,Athletics,610,6.9%,27.2%,0.25,0.247,0.307,0.524,0.831,0.277,2.7,0.270,-0.6,-1.6,-0.9,87,15.6,0.349,122,9112
Carlos Correa,Astros,660,11.4%,21.1%,0.54,0.274,0.361,0.451,0.811,0.177,4.5,0.328,2.0,0.8,1.0,95,16.8,0.349,123,14162
Jose Abreu,White Sox,695,6.8%,18.0%,0.38,0.293,0.353,0.468,0.820,0.175,1.3,0.327,-2.7,-1.6,-1.2,99,17.6,0.349,121,15676
Xander Bogaerts,Red Sox,719,8.1%,17.1%,0.47,0.294,0.356,0.446,0.802,0.152,4.5,0.335,3.8,1.7,0.5,102,17.5,0.348,114,12161
