last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Phillips, Brandon,2016,0.263,0.37799999999999995,0.298,0.29600000000000004,0.115,86.4,10.2,35.1,13,2.7,4.1,25.1,24.7,39.4,2.0,25.3,75.2,12.1,40.6,31.2,68.8,136,436,51.3,1073,73.6,7.6,213,1300,566,2092,87.9,93,766,48.7,1019,42.3,884,19.1,57.5,30.6,39.4,30.0,490,65.8,47.1,231,16.3,80,30.2,148,6.3,31,1,26.0,Brandon Phillips\phillbr01,94.0, Phillips,-0.9, Phillips,92
Pillar, Kevin,2016,0.261,0.366,0.297,0.3,0.105,87.1,11.5,27.8,14,3.0,4.7,24.1,25.9,35.8,3.4,30.2,60.6,9.6,36.7,34.4,65.6,131,381,48.9,1039,64.7,8.1,228,1262,615,2124,90.4,63,658,51.1,1085,42.0,892,18.7,48.9,36.0,34.5,29.5,464,64.7,46.6,216,17.0,79,25.2,117,11.2,52,8,28.1,Kevin Pillar\pillake01,81.0, Pillar,2.6, Pillar,82
Piscotty, Stephen,2016,0.26899999999999996,0.47100000000000003,0.354,0.341,0.20199999999999999,88.3,13.7,33.0,39,8.6,6.9,23.9,23.7,31.4,3.8,37.8,72.3,18.8,33.0,40.6,59.4,169,416,50.7,1259,79.3,7.2,267,1503,709,2481,81.2,166,883,49.3,1222,42.6,1058,25.8,52.4,37.2,38.3,24.6,452,62.4,44.5,201,23.7,107,23.9,108,8.0,36,0,27.2,Stephen Piscotty\piscost01,113.0, Piscotty,-2.0, Piscotty,116
Polanco, Gregory,2016,0.273,0.442,0.341,0.34,0.17,89.9,14.1,34.5,25,6.0,6.7,27.7,26.7,28.7,1.7,39.8,68.3,12.9,29.8,36.0,64.0,150,417,58.4,1401,74.6,4.9,266,1426,688,2401,87.1,88,683,41.6,1000,42.4,1019,21.6,45.8,47.0,29.9,23.1,415,53.5,39.5,164,20.2,84,31.1,129,9.2,38,5,27.3,Gregory Polanco*\polangr01,107.0, Polanco,-1.3, Polanco,106
Posey, Buster,2016,0.29100000000000004,0.485,0.368,0.368,0.195,90.5,10.0,32.6,33,6.9,6.3,27.1,20.3,34.4,2.7,43.2,66.5,9.4,26.6,25.9,74.1,79,305,49.8,1145,69.7,7.6,218,1388,661,2297,90.6,72,766,50.2,1152,43.2,992,14.1,46.6,32.4,37.0,30.7,479,60.7,49.3,236,19.6,94,27.8,133,3.3,16,0,25.2,Buster Posey\poseybu01,115.0, Posey,-2.3, Posey,114
Prado, Martin,2016,0.289,0.38,0.32299999999999995,0.345,0.09,87.9,8.9,31.3,7,1.3,3.9,30.2,21.3,39.6,2.1,30.8,51.5,6.2,26.8,19.1,80.9,64,335,48.6,1248,56.2,8.8,245,1676,625,2566,93.8,42,679,51.4,1318,42.6,1093,10.5,39.5,30.8,41.8,27.4,536,64.0,47.9,257,16.4,88,31.0,166,4.7,25,0,26.7,Martin Prado\pradoma01,113.0, Prado,1.2, Prado,112
Pujols, Albert,2016,0.28600000000000003,0.53,0.373,0.344,0.243,91.6,11.7,31.9,49,9.4,7.8,23.1,22.7,34.5,0.4,44.1,62.5,9.7,30.6,26.9,73.1,108,402,52.2,1314,66.3,6.5,248,1492,718,2516,90.3,73,751,47.8,1202,42.8,1078,15.7,45.8,43.9,37.0,19.1,524,55.8,45.2,237,26.0,136,22.5,118,6.3,33,0,22.6,Albert Pujols\pujolal01,113.0, Pujols,-5.4, Pujols,110
Ramirez, Jose,2016,0.294,0.426,0.342,0.349,0.132,88.4,13.2,35.0,15,3.0,5.5,27.8,26.0,33.7,2.8,32.9,61.8,10.3,26.2,18.1,81.9,58,320,50.3,1222,73.5,7.8,407,1483,519,2428,89.7,77,745,49.7,1206,42.8,1040,12.7,43.9,35.6,36.2,28.1,508,57.0,41.5,211,20.1,102,31.7,161,6.7,34,1,27.9,Jose Ramirez#\ramirjo01,114.0, Ramirez,6.7, Ramirez,119
Ramirez, Alexei,2016,0.244,0.304,0.263,0.281,0.06,84.5,9.2,30.9,2,0.5,1.7,22.0,26.1,45.5,3.1,23.9,65.0,10.6,32.5,28.2,71.8,86,305,51.0,939,72.6,6.7,156,1129,536,1840,89.4,62,586,49.0,901,41.8,770,16.6,48.4,40.9,38.8,20.3,418,63.6,51.9,217,16.3,68,24.2,101,7.7,32,0,26.6,Alexei Ramírez\ramiral03,66.0, Ramirez,-0.2, Ramirez,63
Ramirez, Hanley,2016,0.267,0.47700000000000004,0.355,0.34700000000000003,0.209,90.6,9.3,29.8,45,10.4,7.2,20.6,20.1,36.5,2.8,41.8,65.9,14.8,29.6,41.4,58.6,159,384,53.7,1298,75.9,7.9,227,1469,645,2416,85.2,109,737,46.3,1118,41.5,1003,23.9,46.4,35.1,38.1,26.8,433,61.1,49.2,213,21.5,93,21.5,93,7.9,34,1,26.8,Hanley Ramirez\ramirha01,126.0, Ramirez,-0.7, Ramirez,127
Ramos, Wilson,2016,0.281,0.486,0.35600000000000004,0.33299999999999996,0.205,90.8,4.9,32.9,30,7.4,9.3,21.9,14.0,41.5,3.7,43.2,71.1,12.7,28.2,35.5,64.5,92,259,49.1,918,81.4,9.2,192,1092,575,1868,87.3,86,675,50.9,950,42.5,794,19.1,50.0,33.4,40.3,26.3,407,60.8,54.5,222,15.0,61,26.8,109,3.7,15,0,24.1,Wilson Ramos\ramoswi01,121.0, Ramos,-4.6, Ramos,123
Realmuto, J.T.,2016,0.27399999999999997,0.39399999999999996,0.315,0.318,0.12,88.6,9.8,28.4,16,3.9,3.4,28.4,21.6,39.3,2.2,35.2,65.9,13.1,30.2,33.5,66.5,109,325,50.2,1075,72.0,8.2,214,1287,637,2142,86.9,92,703,49.8,1067,44.6,955,19.6,48.0,36.7,37.9,25.5,412,63.3,50.5,208,16.3,67,24.8,102,8.5,35,7,28.8,J.T. Realmuto\realmjt01,111.0, Realmuto,1.1, Realmuto,111
Rendon, Anthony,2016,0.271,0.46,0.355,0.354,0.18899999999999997,91.1,16.9,35.6,27,5.9,9.0,25.3,28.8,26.9,1.1,41.5,62.1,13.4,21.1,28.4,71.6,74,261,47.5,1235,75.5,8.8,209,1637,752,2604,86.6,114,848,52.5,1365,43.7,1137,17.0,42.6,37.3,33.6,29.0,458,62.4,36.2,166,26.9,123,28.6,131,8.3,38,1,28.1,Anthony Rendon\rendoan01,108.0, Rendon,2.1, Rendon,110
Rizzo, Anthony,2016,0.26899999999999996,0.49200000000000005,0.37,0.36700000000000005,0.223,89.1,16.2,31.8,44,9.2,5.9,23.4,29.1,26.6,3.8,36.4,63.6,13.0,29.7,31.7,68.3,139,438,55.6,1477,72.4,5.9,378,1533,705,2656,87.0,97,749,44.4,1178,42.7,1133,19.9,44.7,43.3,34.1,22.6,478,57.2,38.3,183,26.8,128,26.2,125,8.8,42,0,25.9,Anthony Rizzo*\rizzoan01,143.0, Rizzo,-2.5, Rizzo,145
Russell, Addison,2016,0.239,0.42100000000000004,0.32299999999999995,0.32299999999999995,0.182,87.6,15.2,32.3,37,9.3,2.3,24.0,27.8,31.3,3.5,31.6,71.8,23.0,28.6,44.3,55.7,151,341,51.1,1194,80.8,7.8,229,1408,673,2336,77.0,189,820,48.9,1142,41.9,979,29.3,49.7,43.7,34.6,21.5,396,64.0,42.4,168,21.5,85,25.3,100,10.9,43,3,28.5,Addison Russell\russead02,94.0, Russell,-0.4, Russell,95
Santana, Carlos,2016,0.275,0.516,0.38799999999999996,0.382,0.24,90.8,14.4,29.3,48,9.8,7.0,22.3,26.0,32.4,1.6,43.2,60.5,13.9,18.8,35.3,64.7,95,269,51.4,1429,68.9,6.6,456,1680,631,2781,86.1,114,818,48.6,1352,42.3,1175,19.2,39.1,48.0,35.0,17.0,488,52.6,43.0,210,21.5,105,25.6,125,9.8,48,0,25.9,Carlos Santana#\santaca01,123.0, Santana,0.7, Santana,130
Saunders, Michael,2016,0.237,0.413,0.325,0.326,0.17600000000000002,90.0,11.1,33.2,26,7.7,9.5,22.3,23.4,32.3,2.7,44.5,68.3,19.6,23.0,55.1,44.9,158,287,52.5,1250,83.1,7.2,345,1375,617,2383,80.4,152,774,47.5,1133,43.2,1030,29.2,44.5,37.1,37.1,25.8,337,55.2,41.5,140,24.6,83,28.2,95,5.6,19,0,26.9,Michael Saunders*\saundmi01,116.0, Saunders,1.4, Saunders,119
Schoop, Jonathan,2016,0.254,0.409,0.305,0.287,0.156,87.3,11.9,29.3,32,6.7,3.7,23.9,24.1,33.7,5.8,34.7,79.3,18.8,41.9,47.3,52.7,225,476,51.0,1137,87.7,6.2,285,1316,597,2231,81.2,163,867,49.0,1094,44.2,985,28.9,60.2,42.4,33.7,23.9,481,66.2,45.7,220,20.4,98,23.5,113,10.4,50,0,27.5,Jonathan Schoop\schoojo01,98.0, Schoop,0.6, Schoop,99
Seager, Kyle,2016,0.29600000000000004,0.521,0.385,0.37799999999999995,0.225,90.4,16.8,36.5,44,9.0,7.7,26.9,28.1,24.0,2.0,41.3,61.0,13.2,24.0,31.7,68.3,101,319,51.4,1329,68.0,7.7,351,1473,715,2583,86.8,101,765,48.6,1255,43.1,1113,18.6,42.0,39.3,32.6,28.1,491,55.0,36.9,181,26.7,131,28.5,140,7.9,39,1,25.6,Kyle Seager*\seageky01,133.0, Seager,-0.5, Seager,134
Seager, Corey,2016,0.308,0.528,0.385,0.36700000000000005,0.22,91.0,10.3,37.5,41,8.3,7.5,28.4,17.3,36.1,1.4,44.0,78.5,14.8,28.8,44.6,55.4,169,379,52.3,1314,93.9,7.1,351,1481,639,2512,85.2,139,941,47.7,1198,42.3,1063,23.3,52.5,32.7,37.9,29.4,496,60.8,47.2,234,20.0,99,29.8,148,3.0,15,1,26.6,Corey Seager*\seageco01,134.0, Seager,2.5, Seager,136
Segura, Jean,2016,0.285,0.47100000000000003,0.353,0.33799999999999997,0.18600000000000003,89.0,7.8,31.0,32,5.9,5.7,22.7,17.7,42.8,1.7,33.8,62.7,11.1,29.9,29.9,70.1,119,398,49.4,1333,65.7,8.0,227,1713,754,2699,88.9,95,856,50.6,1366,42.2,1138,17.1,46.5,27.5,40.2,32.3,542,59.7,54.2,294,17.7,96,25.1,136,3.0,16,32,28.3,Jean Segura\segurje01,122.0, Segura,2.3, Segura,126
Semien, Marcus,2016,0.22399999999999998,0.41,0.304,0.289,0.18600000000000003,88.0,15.4,31.8,29,6.7,7.7,19.7,30.9,29.0,3.9,35.3,65.4,18.5,25.2,37.6,62.4,121,322,49.4,1277,78.4,7.3,303,1470,792,2586,81.5,158,856,50.6,1309,43.7,1130,23.7,45.6,39.0,35.7,25.3,431,57.0,40.4,174,29.0,125,24.1,104,6.5,28,2,28.4,Marcus Semien\semiema01,99.0, Semien,-1.5, Semien,98
Shaw, Travis,2016,0.237,0.425,0.313,0.302,0.18899999999999997,88.7,16.1,34.2,28,8.0,6.6,23.9,29.6,27.6,2.0,34.2,67.2,16.4,31.4,38.6,61.4,141,365,54.5,1162,75.9,6.8,271,1284,512,2131,83.6,107,651,45.5,969,41.6,886,24.4,47.7,38.5,34.5,27.1,351,57.4,36.8,129,30.2,106,23.4,82,9.7,34,0,26.2,Travis Shaw*\shawtr01,90.0, Shaw,-2.5, Shaw,88
Span, Denard,2016,0.282,0.391,0.331,0.349,0.109,86.0,6.7,29.5,14,2.8,3.2,27.1,16.6,40.9,4.4,29.7,64.1,8.3,24.4,28.6,71.4,87,304,50.9,1246,73.9,7.3,269,1655,511,2449,91.7,64,771,49.1,1203,42.8,1048,14.0,43.9,35.5,41.1,23.4,501,58.9,54.5,273,15.2,76,25.9,130,4.4,22,6,27.9,Denard Span*\spande01,93.0, Span,2.9, Span,94
Springer, George,2016,0.261,0.469,0.36200000000000004,0.36,0.209,89.4,8.7,32.1,49,10.5,6.0,22.5,20.1,35.5,3.9,38.5,71.1,23.1,25.5,40.2,59.8,157,391,52.3,1532,86.8,6.4,339,1750,810,2932,76.9,230,995,47.7,1400,43.4,1273,27.9,47.3,36.6,39.8,23.6,467,63.4,49.5,231,21.6,101,24.4,114,4.5,21,16,28.4,George Springer\springe01,125.0, Springer,2.3, Springer,126
Suarez, Eugenio,2016,0.239,0.39899999999999997,0.314,0.311,0.16,86.7,15.9,38.0,26,6.3,3.9,25.4,29.8,29.5,3.9,29.1,61.4,17.2,25.7,42.7,57.3,144,337,50.5,1309,68.8,7.7,238,1675,680,2594,82.8,136,789,49.5,1285,42.6,1105,24.9,43.4,37.3,36.3,26.4,413,59.2,41.6,172,23.2,96,27.6,114,7.5,31,0,27.4,Eugenio Suarez\suareeu01,92.0, Suarez,-1.3, Suarez,93
Tomas, Yasmany,2016,0.276,0.493,0.348,0.318,0.217,90.6,9.9,33.7,42,10.6,6.6,26.6,17.7,35.9,1.8,42.0,79.8,20.3,39.9,47.0,53.0,206,438,55.6,1097,86.8,6.5,181,1126,648,1972,79.7,142,698,44.4,875,39.8,784,30.6,57.6,37.2,33.4,29.4,395,71.2,47.3,187,19.0,75,29.6,117,4.1,16,0,27.0,Yasmany Tomás\tomasya01,108.0, Tomas,-1.9, Tomas,109
Trout, Mike,2016,0.309,0.583,0.435,0.441,0.27399999999999997,91.0,13.8,38.1,61,14.6,5.8,26.6,21.1,27.1,1.7,40.5,57.6,15.2,21.7,33.3,66.7,117,351,53.7,1620,65.8,6.2,276,1907,747,3014,84.8,122,803,46.3,1394,40.5,1222,20.7,38.3,37.9,36.2,25.9,417,55.8,42.2,176,25.4,106,29.0,121,3.4,14,19,28.9,Mike Trout\troutmi01,173.0, Trout,3.5, Trout,170
Trumbo, Mark,2016,0.27,0.551,0.374,0.33,0.281,92.8,15.1,31.8,69,15.6,5.6,21.0,24.2,30.7,1.1,44.9,69.3,20.3,31.2,47.4,52.6,204,430,52.5,1377,79.6,7.5,322,1437,819,2623,79.7,175,863,47.5,1246,41.3,1084,29.3,49.3,40.6,35.0,24.4,443,63.6,40.6,180,27.8,123,22.1,98,9.5,42,1,27.0,Mark Trumbo\trumbma01,122.0, Trumbo,-1.1, Trumbo,125
Tulowitzki, Troy,2016,0.26899999999999996,0.502,0.361,0.33399999999999996,0.233,90.0,14.2,33.7,38,9.6,7.3,24.1,25.8,32.2,0.5,40.8,61.4,16.9,26.6,30.5,69.5,83,272,48.6,1021,72.8,8.0,200,1275,602,2100,83.1,112,663,51.4,1079,43.0,903,20.9,44.5,40.8,36.7,22.5,395,59.4,41.0,162,26.1,103,24.1,95,8.9,35,0,25.5,Troy Tulowitzki\tulowtr01,102.0, Tulowitzki,-1.9, Tulowitzki,104
Turner, Justin,2016,0.278,0.49,0.36,0.344,0.212,90.6,17.0,37.4,40,8.8,5.3,27.1,30.2,26.3,2.0,41.4,63.8,16.1,23.2,25.8,74.2,71,275,48.0,1183,72.5,8.3,234,1602,605,2466,83.9,132,819,52.0,1283,43.7,1077,18.6,44.4,35.2,33.9,30.9,457,60.5,36.3,166,27.6,126,29.5,135,6.6,30,0,26.2,Justin Turner\turneju01,121.0, Turner,-0.1, Turner,123
Upton, B.J.,2016,0.23600000000000002,0.397,0.301,0.29,0.161,88.3,9.2,31.1,20,5.8,6.4,25.9,20.9,36.0,3.8,36.6,68.9,29.6,28.3,49.2,50.8,131,266,46.4,941,85.7,8.6,126,1339,563,2030,70.4,222,750,53.6,1088,44.1,895,34.7,50.0,34.0,36.3,29.7,344,65.7,49.4,170,22.1,76,23.5,81,4.9,17,9,28.2,Melvin Upton Jr.\uptonbj01,86.0, Upton Jr.,2.2, Upton Jr.,84
Upton, Justin,2016,0.253,0.486,0.344,0.317,0.233,91.3,15.6,33.3,49,12.5,7.4,22.4,27.7,27.0,2.8,45.5,64.5,24.6,23.3,48.2,51.8,146,303,49.9,1298,77.2,7.6,241,1676,654,2606,75.4,207,841,50.1,1304,44.4,1154,30.9,43.9,38.2,35.9,26.0,393,55.6,39.2,154,25.4,100,27.0,106,8.4,33,1,27.4,Justin Upton\uptonju01,106.0, Upton,1.5, Upton,105
Utley, Chase,2016,0.261,0.39299999999999996,0.319,0.32799999999999996,0.132,87.6,12.1,35.6,17,4.3,6.0,32.1,23.3,29.3,3.0,33.8,58.3,11.4,21.4,39.6,60.4,93,235,49.4,1098,72.3,7.8,304,1378,523,2224,88.6,75,656,50.6,1126,44.1,980,18.9,40.1,44.6,36.8,18.5,399,59.3,45.4,181,21.3,85,27.1,108,6.3,25,3,27.4,Chase Utley*\utleych01,92.0, Utley,0.3, Utley,96
Valencia, Danny,2016,0.282,0.47200000000000003,0.353,0.34299999999999997,0.19,90.1,9.8,35.2,28,7.8,7.8,26.8,19.8,34.9,2.0,41.1,60.2,15.8,29.4,51.3,48.7,159,310,52.2,1054,71.5,7.5,224,1114,674,2020,84.2,92,581,47.8,965,41.5,838,28.2,44.1,35.2,38.8,26.0,358,59.2,46.1,165,17.6,63,28.5,102,7.8,28,1,27.0,Danny Valencia\valenda01,116.0, Valencia,-0.7, Valencia,117
Villar, Jonathan,2016,0.248,0.387,0.325,0.341,0.14,90.3,4.7,28.8,27,6.4,5.7,22.9,14.6,41.7,2.8,38.2,65.0,20.8,21.8,45.9,54.1,145,316,51.3,1452,77.4,6.9,430,1795,591,2831,79.2,186,896,48.7,1379,42.5,1203,27.3,42.8,27.1,47.2,25.7,424,57.3,57.8,245,13.4,57,25.0,106,3.8,16,3,28.0,Jonathan Villar#\villajo01,117.0, Villar,-1.2, Villar,120
Vogt, Stephen,2016,0.259,0.41700000000000004,0.316,0.312,0.158,85.9,19.4,40.7,21,5.1,5.1,24.6,38.0,22.2,3.4,26.8,59.7,10.6,30.8,30.2,69.8,99,328,50.1,1064,60.4,7.3,309,1223,576,2124,89.4,67,633,49.9,1060,41.9,891,17.3,45.2,35.1,33.9,31.0,410,59.2,30.7,126,31.0,127,28.0,115,10.2,42,0,26.0,Stephen Vogt*\vogtst01,94.0, Vogt,0.1, Vogt,91
Votto, Joey,2016,0.304,0.5379999999999999,0.406,0.418,0.235,89.6,11.6,40.8,43,9.7,6.5,32.2,19.1,29.7,2.3,39.9,66.3,16.4,19.8,25.1,74.9,77,307,53.7,1554,85.1,6.0,361,1914,563,2896,83.6,146,890,46.3,1342,43.5,1261,18.6,41.3,35.8,35.1,29.1,444,54.4,44.1,196,19.4,86,35.1,156,1.4,6,0,25.0,Joey Votto*\vottojo01,160.0, Votto,-3.5, Votto,158
Werth, Jayson,2016,0.247,0.42200000000000004,0.33899999999999997,0.342,0.175,91.3,14.9,32.4,29,7.4,6.4,23.7,28.6,31.4,1.3,44.6,52.7,16.4,22.5,32.1,67.9,97,302,48.3,1344,66.8,8.0,233,1845,703,2785,83.6,125,760,51.7,1441,45.6,1270,20.9,38.1,41.1,35.7,23.2,392,56.8,41.3,162,26.5,104,25.3,99,6.9,27,0,25.8,Jayson Werth\werthja01,97.0, Werth,3.6, Werth,100
Yelich, Christian,2016,0.312,0.52,0.396,0.39399999999999996,0.20800000000000002,92.6,2.7,31.9,43,9.7,7.2,26.5,9.0,42.2,2.0,49.9,63.2,14.2,20.9,50.3,49.7,155,308,54.2,1471,76.3,5.7,402,1535,765,2715,85.8,112,786,45.8,1244,43.2,1172,24.4,40.3,33.0,38.2,28.8,445,55.1,58.4,260,11.5,51,28.1,125,2.0,9,46,28.9,Christian Yelich*\yelicch01,135.0, Yelich,3.1, Yelich,134
Zobrist, Ben,2016,0.278,0.42200000000000004,0.36200000000000004,0.395,0.14400000000000002,89.1,9.5,32.3,20,4.5,4.5,27.2,20.7,37.6,1.8,35.4,54.6,7.7,18.8,25.8,74.2,70,271,54.3,1441,67.4,6.5,431,1616,584,2655,92.3,51,663,45.7,1214,43.7,1160,13.0,35.2,46.8,36.3,16.9,449,56.7,49.0,220,19.2,86,26.5,119,5.3,24,0,27.3,Ben Zobrist#\zobribe01,121.0, Zobrist,4.2, Zobrist,124
