last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Kipnis, Jason,2016,0.273,0.457,0.35100000000000003,0.344,0.184,89.9,14.8,38.2,32,6.7,7.8,27.9,24.4,27.1,2.7,39.5,60.6,11.7,25.6,38.6,61.4,137,355,50.3,1388,63.0,7.7,307,1724,714,2758,88.3,97,830,49.7,1370,42.9,1182,19.7,43.0,36.6,38.9,24.6,476,55.2,41.0,195,21.0,100,32.1,153,5.9,28,0,27.3,Jason Kipnis*\kipnija01,109.0, Kipnis,1.9, Kipnis,114
Lamb, Jake,2016,0.25,0.474,0.35,0.336,0.22399999999999998,91.3,10.4,34.6,43,11.5,6.2,20.4,20.6,38.6,1.3,43.4,64.0,18.8,25.3,52.3,47.7,168,321,52.7,1270,78.9,5.5,339,1484,569,2411,81.2,137,730,47.3,1141,44.8,1081,29.0,43.6,41.3,35.7,23.1,373,54.0,46.6,174,19.6,73,28.7,107,5.1,19,0,27.2,Jake Lamb*\lambja01,114.0, Lamb,4.6, Lamb,114
LeMahieu, DJ,2016,0.342,0.5,0.401,0.414,0.158,91.7,5.9,36.2,24,4.9,5.6,34.2,12.8,37.9,1.0,47.5,59.2,8.2,23.0,20.9,79.1,60,287,48.4,1247,64.5,7.2,171,1786,600,2577,91.8,65,788,51.6,1330,44.5,1147,11.6,41.7,20.8,42.0,37.2,486,58.4,52.9,257,10.1,49,33.7,164,3.3,16,0,27.1,DJ LeMahieu\lemahdj01,128.0, LeMahieu,3.2, LeMahieu,130
Lindor, Francisco,2016,0.29100000000000004,0.425,0.345,0.354,0.134,88.7,7.9,34.6,22,4.1,3.9,27.7,20.2,40.1,2.2,33.5,68.1,12.5,28.1,27.5,72.5,104,378,52.7,1344,77.1,7.9,380,1512,637,2552,87.5,103,823,47.3,1208,42.0,1073,17.2,47.1,37.3,36.1,26.6,534,59.6,50.0,267,16.1,86,29.6,158,4.3,23,2,27.1,Francisco Lindor#\lindofr01,106.0, Lindor,0.2, Lindor,109
Longoria, Evan,2016,0.273,0.545,0.368,0.322,0.272,90.8,18.2,38.1,60,12.1,7.9,21.0,31.5,25.2,1.6,41.5,64.5,19.0,32.4,40.5,59.5,165,407,49.8,1256,70.1,8.8,299,1427,748,2523,81.0,155,817,50.2,1267,42.7,1078,26.1,48.5,40.5,36.3,23.2,496,61.8,32.5,161,30.8,153,26.4,131,10.3,51,0,27.4,Evan Longoria\longoev01,127.0, Longoria,0.6, Longoria,123
Lucroy, Jonathan,2016,0.278,0.474,0.35200000000000004,0.344,0.196,87.6,14.3,37.6,29,7.4,5.3,28.2,23.4,30.5,3.6,35.0,56.7,13.2,28.3,32.6,67.4,100,307,49.1,1084,61.9,8.8,215,1464,510,2209,86.8,84,638,50.9,1125,40.6,896,19.5,42.8,32.2,40.9,26.9,394,57.0,38.6,152,21.6,85,31.5,124,8.4,33,1,25.6,Jonathan Lucroy\lucrojo01,123.0, Lucroy,-0.4, Lucroy,123
Machado, Manny,2016,0.294,0.528,0.37200000000000005,0.34600000000000003,0.235,90.3,14.6,35.0,49,9.3,8.6,23.8,26.1,27.8,3.6,43.2,69.9,14.7,30.6,38.1,61.9,157,412,52.5,1345,81.1,6.4,336,1441,727,2566,85.3,125,851,47.5,1218,43.2,1108,22.3,49.2,39.8,36.2,24.0,525,59.9,37.9,199,23.8,125,27.2,143,11.0,58,0,26.1,Manny Machado\machama01,130.0, Machado,1.5, Machado,131
Markakis, Nick,2016,0.278,0.42100000000000004,0.34299999999999997,0.36,0.14300000000000002,90.7,10.7,37.7,25,4.9,5.7,29.2,23.5,33.9,1.6,42.8,61.1,9.4,21.4,21.8,78.2,64,293,52.2,1370,71.0,7.0,216,1752,616,2626,90.6,72,767,47.8,1256,44.0,1156,12.8,40.4,31.4,40.4,28.2,507,55.4,44.0,223,20.1,102,31.0,157,4.9,25,0,25.5,Nick Markakis*\markani01,100.0, Markakis,-0.9, Markakis,98
Marte, Starling,2016,0.284,0.441,0.34,0.33799999999999997,0.157,87.5,9.2,35.8,21,5.4,7.0,24.4,19.2,35.2,6.0,37.0,72.5,16.2,37.2,41.8,58.2,166,397,53.5,1066,80.6,6.5,209,1200,564,1995,83.8,109,671,46.5,925,41.9,835,25.7,53.5,35.8,37.3,26.9,386,60.5,48.7,188,17.6,68,28.8,111,4.9,19,51,28.9,Starling Marte\martest01,118.0, Marte,1.7, Marte,120
Martin, Leonys,2016,0.22699999999999998,0.33899999999999997,0.28600000000000003,0.293,0.111,87.6,12.8,30.3,19,5.0,4.5,23.9,25.8,31.1,4.2,31.3,67.2,22.8,31.3,45.2,54.8,159,352,50.3,1123,66.7,7.7,321,1317,583,2232,77.2,170,745,49.7,1109,43.1,962,30.0,49.1,44.5,32.4,23.2,380,65.3,45.5,173,20.0,76,23.9,91,10.5,40,2,27.4,Leonys Martín*\martile01,88.0, Martin,2.0, Martin,89
Martin, Russell,2016,0.225,0.41600000000000004,0.332,0.33299999999999996,0.191,89.2,10.0,29.4,29,9.3,6.4,22.7,20.8,35.8,2.9,40.3,56.7,24.0,19.1,49.5,50.5,102,206,47.3,1081,74.3,8.0,206,1334,718,2284,76.0,164,682,52.7,1203,42.5,971,30.0,38.9,33.5,39.0,27.5,313,55.9,47.9,150,23.0,72,22.4,70,6.7,21,0,25.4,Russell Martin\martiru01,96.0, Martin,-1.5, Martin,101
Martinez, J.D.,2016,0.295,0.5760000000000001,0.402,0.36700000000000005,0.281,91.5,13.4,38.0,48,14.2,8.9,25.8,19.9,28.5,2.1,47.2,75.6,19.0,31.3,52.0,48.0,172,331,52.4,1059,86.7,8.6,231,1168,597,2022,81.0,138,728,47.6,963,42.0,850,29.3,52.4,38.6,36.2,25.2,337,61.5,43.0,145,25.2,85,27.9,94,3.9,13,1,27.0,J.D. Martinez\martijd02,142.0, Martinez,-1.9, Martinez,143
Martinez, Victor,2016,0.28800000000000003,0.51,0.368,0.35200000000000004,0.222,90.0,15.5,37.8,39,8.4,7.9,28.5,25.8,27.0,2.1,42.1,65.3,11.7,30.4,27.2,72.8,104,382,54.3,1256,70.7,6.5,397,1296,570,2316,88.3,81,692,45.7,1059,41.4,958,17.2,46.4,44.6,33.5,21.9,466,57.7,38.8,181,27.0,126,26.4,123,7.7,36,0,22.6,Victor Martinez#\martivi01,121.0, Martinez,-7.9, Martinez,120
Mauer, Joe,2016,0.28600000000000003,0.46,0.368,0.386,0.174,89.8,3.7,36.5,24,6.0,7.2,28.5,11.9,42.9,1.7,42.9,50.2,11.1,20.9,25.4,74.6,67,264,51.3,1264,54.1,7.4,294,1587,513,2466,88.9,67,604,48.7,1202,43.0,1060,15.4,35.2,28.3,34.7,37.0,403,60.1,52.4,211,17.9,72,29.0,117,0.7,3,0,26.4,Joe Mauer*\mauerjo01,104.0, Mauer,-1.7, Mauer,102
Mazara, Nomar,2016,0.266,0.433,0.33399999999999996,0.325,0.16699999999999998,88.0,8.4,32.6,28,6.8,5.4,23.6,20.2,39.7,3.9,35.0,61.2,12.2,31.6,32.8,67.2,131,399,56.0,1264,67.6,6.0,329,1302,588,2258,87.8,74,608,44.0,994,41.7,942,20.4,44.6,33.6,39.7,26.8,411,58.1,49.6,204,20.4,84,23.6,97,6.3,26,0,26.9,Nomar Mazara*\mazarno01,93.0, Mazara,-2.9, Mazara,91
McCutchen, Andrew,2016,0.265,0.466,0.35100000000000003,0.34700000000000003,0.201,89.6,16.5,32.8,39,8.5,7.4,24.5,26.9,26.6,2.8,41.7,69.0,18.7,23.8,44.5,55.5,147,330,50.5,1385,84.3,7.9,302,1630,781,2740,81.3,175,935,49.5,1355,42.7,1169,25.5,46.2,43.4,34.3,22.3,458,58.5,36.9,169,24.2,111,29.7,136,9.2,42,12,29.1,Andrew McCutchen\mccutan01,104.0, McCutchen,-1.0, McCutchen,105
Mercer, Jordy,2016,0.25,0.35700000000000004,0.306,0.326,0.107,86.9,11.1,27.9,10,2.2,3.8,23.4,23.8,37.8,3.4,26.3,59.7,9.6,27.3,26.6,73.4,85,320,51.1,1171,64.2,7.2,152,1429,677,2292,90.4,64,669,48.9,1121,41.4,950,15.1,43.2,31.2,38.2,30.6,445,61.6,49.9,222,19.8,88,24.3,108,6.1,27,0,27.6,Jordy Mercer\mercejo03,88.0, Mercer,2.7, Mercer,88
Miller, Brad,2016,0.247,0.442,0.32799999999999996,0.31,0.196,90.5,12.1,29.4,39,9.7,6.7,21.6,22.4,35.3,3.0,42.5,70.2,21.0,29.1,40.5,59.5,141,348,51.4,1195,81.5,6.5,342,1358,597,2324,79.0,166,792,48.6,1129,43.0,1000,26.9,49.1,40.5,34.1,25.4,402,60.9,45.8,184,23.6,95,21.6,87,9.0,36,1,27.8,Brad Miller*\millebr02,113.0, Miller,0.5, Miller,111
Molina, Yadier,2016,0.28300000000000003,0.42700000000000005,0.33799999999999997,0.33899999999999997,0.14400000000000002,87.8,9.4,35.5,17,3.6,5.7,28.8,21.8,36.4,2.7,28.1,71.8,12.9,35.0,19.9,80.1,73,366,50.5,1046,75.2,7.6,178,1365,517,2072,87.1,95,737,49.5,1026,42.7,885,15.2,53.2,35.9,36.8,27.3,473,62.5,48.8,231,19.7,93,27.9,132,3.6,17,2,23.8,Yadier Molina\molinya01,111.0, Molina,-4.0, Molina,114
Morales, Kendrys,2016,0.29,0.5589999999999999,0.392,0.355,0.26899999999999996,92.8,11.4,34.5,48,10.8,8.6,28.0,18.5,31.4,1.8,49.9,66.8,15.7,33.1,37.3,62.7,170,456,55.8,1378,70.8,6.2,488,1322,630,2468,84.3,114,728,44.2,1090,39.5,976,24.0,48.0,36.1,39.3,24.6,443,55.3,44.7,198,24.8,110,25.7,114,4.7,21,0,24.3,Kendrys Morales#\moralke01,110.0, Morales,-1.7, Morales,111
Moreland, Mitch,2016,0.257,0.47700000000000004,0.342,0.321,0.22,90.5,14.6,33.6,33,9.6,6.1,26.9,25.1,29.5,2.0,39.5,69.9,18.4,32.4,45.2,54.8,164,363,56.9,1120,74.0,6.4,329,1082,524,1971,81.6,109,594,43.1,850,44.8,883,28.5,48.6,42.1,38.3,19.6,342,52.9,43.0,147,21.9,75,24.6,84,10.5,36,0,25.6,Mitch Moreland*\morelmi01,87.0, Moreland,-3.4, Moreland,83
Murphy, Daniel,2016,0.326,0.573,0.406,0.377,0.248,90.7,16.8,36.5,41,8.5,7.1,29.3,27.4,25.3,1.0,41.5,63.8,6.0,30.7,22.7,77.3,78,344,53.9,1120,69.8,6.2,298,1262,483,2079,94.0,37,612,46.1,959,41.9,871,12.0,46.0,40.2,34.4,25.3,482,56.0,37.6,181,26.6,128,29.0,140,6.8,33,0,26.5,Daniel Murphy*\murphda08,155.0, Murphy,1.4, Murphy,154
Myers, Wil,2016,0.259,0.44,0.34299999999999997,0.33899999999999997,0.18100000000000002,88.6,10.0,36.7,31,7.0,7.0,22.7,22.3,36.9,3.8,39.2,57.6,17.6,24.9,30.9,69.1,115,372,51.8,1493,69.6,7.2,230,1760,875,2884,82.4,141,801,48.2,1391,43.5,1254,21.8,40.7,36.3,39.9,23.9,444,58.0,45.3,201,18.7,83,30.4,135,5.6,25,3,28.0,Wil Myers\myerswi01,115.0, Myers,4.3, Myers,114
Napoli, Mike,2016,0.223,0.47100000000000003,0.344,0.32299999999999995,0.248,89.6,18.4,33.2,49,13.3,7.1,19.0,28.8,26.6,4.1,39.4,63.6,25.3,24.6,43.5,56.5,160,368,50.7,1494,77.9,8.0,381,1832,707,2950,74.7,234,925,49.3,1455,42.7,1258,30.5,43.8,43.5,36.1,20.4,368,57.1,36.7,135,26.4,97,24.5,90,12.5,46,0,24.8,Mike Napoli\napolmi01,106.0, Napoli,-5.4, Napoli,111
Nunez, Eduardo,2016,0.26,0.395,0.308,0.303,0.135,89.6,8.4,28.8,21,4.4,3.4,22.4,24.5,40.6,2.3,37.0,69.1,11.8,36.3,27.3,72.7,106,388,50.3,1068,75.8,7.8,172,1366,555,2124,88.2,86,730,49.7,1056,43.3,919,17.2,52.6,32.1,37.8,30.0,473,63.7,50.3,238,19.7,93,21.8,103,8.2,39,44,28.0,Eduardo Nunez\nunezed02,103.0, Nunez,-1.7, Nunez,101
Odor, Rougned,2016,0.255,0.46299999999999997,0.324,0.284,0.20800000000000002,89.6,14.3,31.4,37,7.8,8.4,21.5,26.2,30.4,2.5,37.6,68.8,13.5,41.2,39.3,60.7,185,471,52.5,1143,74.1,6.2,345,1135,664,2177,86.5,96,711,47.5,1034,43.1,938,23.8,54.3,43.9,37.3,18.8,474,61.4,42.2,200,26.6,126,23.4,111,7.8,37,4,27.7,Rougned Odor*\odorro01,105.0, Odor,1.5, Odor,103
Ortiz, David,2016,0.314,0.6409999999999999,0.434,0.405,0.327,93.2,16.8,39.3,71,15.5,8.1,20.7,27.3,24.5,0.9,47.2,68.0,12.0,26.6,32.0,68.0,125,391,59.3,1468,80.2,4.5,344,1443,601,2478,88.0,82,684,40.7,1006,41.4,1025,19.3,43.4,47.6,35.8,16.6,458,52.0,33.8,155,28.4,130,29.0,133,8.7,40,0,23.6,David Ortiz*\ortizda01,164.0, Ortiz,-7.4, Ortiz,163
Ozuna, Marcell,2016,0.282,0.47600000000000003,0.35200000000000004,0.337,0.19399999999999998,90.8,10.8,32.3,35,7.8,5.6,25.6,24.0,32.7,2.5,42.2,64.4,16.1,31.5,45.7,54.3,170,372,53.1,1181,75.0,6.7,256,1237,724,2225,83.9,108,672,46.9,1044,41.2,917,26.6,46.9,33.9,43.0,23.1,446,63.2,44.6,199,21.5,96,27.1,121,6.7,30,1,28.0,Marcell Ozuna\ozunama01,110.0, Ozuna,0.0, Ozuna,109
Pagan, Angel,2016,0.29100000000000004,0.402,0.332,0.34600000000000003,0.11,85.7,12.5,35.9,13,3.0,2.3,29.2,25.7,34.7,2.1,21.8,57.8,7.5,23.2,22.0,77.6,54,245,49.8,1055,65.8,7.3,261,1476,371,2117,92.5,46,614,50.2,1062,43.3,917,11.6,40.6,38.9,33.6,27.5,432,57.8,42.6,184,18.8,81,32.6,141,6.0,26,1,27.7,Angel Pagan#\paganan01,102.0, Pagan,1.0, Pagan,102
Panik, Joe,2016,0.259,0.405,0.32799999999999996,0.33799999999999997,0.147,86.3,12.8,30.6,19,4.5,4.0,24.0,25.9,34.8,1.9,26.8,63.4,6.7,21.3,23.5,76.5,52,221,52.4,1037,77.3,6.5,278,1249,434,1978,93.3,40,597,47.6,941,42.3,837,11.2,41.4,34.6,37.4,28.0,425,56.1,46.1,196,21.9,93,23.3,99,8.7,37,2,26.5,Joe Panik*\panikjo01,88.0, Panik,1.5, Panik,86
Pedroia, Dustin,2016,0.293,0.413,0.34299999999999997,0.355,0.12,88.6,8.6,35.3,14,2.5,3.9,30.9,22.9,38.3,0.7,28.9,58.4,9.8,24.7,19.0,81.0,58,306,45.4,1238,66.5,8.1,244,1731,712,2728,90.2,85,870,54.6,1490,42.2,1151,12.2,43.1,34.0,33.9,32.1,564,58.0,48.9,276,18.6,105,27.7,156,4.8,27,0,26.5,Dustin Pedroia\pedrodu01,117.0, Pedroia,-0.9, Pedroia,121
Perez, Salvador,2016,0.239,0.4,0.295,0.281,0.161,88.8,18.9,29.7,25,6.3,6.0,23.7,33.8,27.2,2.5,37.8,69.1,13.7,42.6,37.0,63.0,159,430,53.9,1010,71.4,6.7,220,1030,601,1875,86.3,82,598,46.1,865,41.0,768,23.4,54.8,43.6,36.5,19.9,397,66.8,35.8,142,28.2,112,21.2,84,14.9,59,0,25.9,Salvador Perez\perezsa02,91.0, Perez,-3.7, Perez,89
