Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Gary Sanchez,Yankees,525,7.6%,22.9%,0.33,0.278,0.345,0.531,0.876,0.253,2.6,0.304,-2.2,1.1,-0.3,85,20.7,0.368,131,11442
Yonder Alonso,- - -,521,13.1%,22.6%,0.58,0.266,0.365,0.501,0.866,0.235,2.4,0.302,-3.2,0.6,0.1,83,19.7,0.366,133,2530
Buster Posey,Giants,568,10.7%,11.6%,0.92,0.320,0.400,0.462,0.861,0.142,2.8,0.347,-1.1,-1.1,0.4,91,21.4,0.366,128,9166
Corey Seager,Dodgers,613,10.9%,21.4%,0.51,0.295,0.375,0.479,0.854,0.184,2.7,0.352,4.6,-0.7,-0.5,97,22.2,0.364,127,13624
Joey Gallo,Rangers,532,14.1%,36.8%,0.38,0.209,0.333,0.537,0.869,0.327,5.5,0.250,1.9,2.4,0.3,84,19.2,0.364,119,14128
Logan Morrison,Rays,601,13.5%,24.8%,0.54,0.246,0.353,0.516,0.868,0.270,2.4,0.268,0.0,0.0,0.0,94,21.2,0.363,131,9205
Brian Dozier,Twins,705,11.1%,20.0%,0.55,0.271,0.359,0.498,0.856,0.227,5.2,0.300,3.1,0.8,-0.2,110,24.4,0.362,126,9810
Chris Taylor,Dodgers,568,8.8%,25.0%,0.35,0.288,0.354,0.496,0.850,0.208,6.4,0.361,3.0,2.3,1.4,89,19.4,0.361,126,13757
Khris Davis,Athletics,652,11.2%,29.9%,0.37,0.247,0.336,0.528,0.864,0.281,3.4,0.290,0.3,-2.0,0.4,102,22.1,0.361,130,9112
Travis Shaw,Brewers,606,9.9%,22.8%,0.43,0.273,0.349,0.513,0.862,0.240,4.5,0.312,-0.8,-2.6,1.6,94,20.4,0.361,120,11982
Matt Carpenter,Cardinals,622,17.5%,20.1%,0.87,0.241,0.384,0.451,0.835,0.209,3.1,0.274,-0.8,1.7,-0.5,97,20.9,0.361,124,8090
Andrew McCutchen,Pirates,650,11.2%,17.8%,0.63,0.279,0.363,0.486,0.849,0.207,4.3,0.305,0.1,1.3,-0.3,101,21.5,0.360,122,9847
Mark Reynolds,Rockies,593,11.6%,29.5%,0.39,0.267,0.352,0.487,0.839,0.219,2.7,0.343,-2.7,0.4,-0.4,91,18.3,0.357,105,7619
Josh Reddick,Astros,540,8.0%,13.3%,0.60,0.314,0.363,0.484,0.847,0.170,4.8,0.339,2.7,0.8,-0.2,82,16.6,0.357,127,3892
Eugenio Suarez,Reds,632,13.3%,23.3%,0.57,0.260,0.367,0.461,0.828,0.200,3.1,0.309,1.3,-0.9,-1.8,96,18.9,0.356,116,12552
Jonathan Schoop,Orioles,675,5.2%,21.0%,0.25,0.293,0.338,0.503,0.841,0.211,2.2,0.330,0.2,-2.1,-0.2,102,19.3,0.355,120,11265
Jake Lamb,Diamondbacks,635,13.7%,23.9%,0.57,0.248,0.357,0.487,0.844,0.239,4.4,0.287,2.0,-0.3,-0.9,94,17.1,0.353,111,13329
Francisco Lindor,Indians,723,8.3%,12.9%,0.65,0.273,0.337,0.505,0.842,0.232,5.1,0.275,3.2,0.2,1.3,108,19.4,0.353,116,12916
Alex Bregman,Astros,626,8.8%,15.5%,0.57,0.284,0.352,0.475,0.827,0.191,5.9,0.311,0.2,-0.8,0.9,92,15.8,0.351,123,17678
Carlos Santana,Indians,667,13.2%,14.1%,0.94,0.259,0.363,0.455,0.818,0.196,4.0,0.274,0.3,0.4,0.1,98,16.5,0.350,115,2396
Jay Bruce,- - -,617,9.2%,22.5%,0.41,0.254,0.324,0.508,0.832,0.254,2.6,0.274,-2.3,0.8,-0.6,90,15.1,0.350,118,9892
Eddie Rosario,Twins,589,5.9%,18.0%,0.33,0.290,0.328,0.507,0.836,0.218,3.9,0.312,1.0,0.4,-1.9,86,14.2,0.349,117,12155
Trey Mancini,Orioles,586,5.6%,23.7%,0.24,0.293,0.338,0.488,0.826,0.195,3.2,0.352,-0.2,0.1,-0.2,85,14.0,0.349,116,15149
Joe Mauer,Twins,597,11.1%,13.9%,0.80,0.305,0.384,0.417,0.801,0.112,2.4,0.349,-3.8,-2.0,-0.5,87,14.1,0.349,117,1857
Yasiel Puig,Dodgers,570,11.2%,17.5%,0.64,0.263,0.346,0.487,0.833,0.224,4.4,0.274,-5.3,-2.4,0.1,83,13.3,0.349,117,14225
Steven Souza Jr.,Rays,617,13.6%,29.0%,0.47,0.239,0.351,0.459,0.810,0.220,4.8,0.302,1.3,1.2,1.1,89,14.2,0.348,121,5667
Christian Yelich,Marlins,695,11.5%,19.7%,0.58,0.282,0.369,0.439,0.807,0.156,5.2,0.336,3.1,1.8,1.9,101,15.8,0.348,117,11477
Jed Lowrie,Athletics,645,11.3%,15.5%,0.73,0.277,0.360,0.448,0.808,0.171,2.7,0.314,-1.3,0.8,-0.8,93,14.3,0.347,120,4418
Lorenzo Cain,Royals,645,8.4%,15.5%,0.54,0.300,0.363,0.440,0.803,0.140,6.5,0.340,2.2,-2.6,3.9,93,14.1,0.347,115,9077
Cesar Hernandez,Phillies,577,10.6%,18.0%,0.59,0.294,0.373,0.421,0.793,0.127,6.0,0.353,0.8,-0.4,0.4,82,12.1,0.346,111,10556
Mike Moustakas,Royals,598,5.7%,15.7%,0.36,0.272,0.314,0.521,0.835,0.249,1.1,0.263,-3.2,-1.9,-0.3,85,12.0,0.345,113,4892
Yuli Gurriel,Astros,564,3.9%,11.0%,0.35,0.299,0.332,0.486,0.817,0.187,2.8,0.308,0.7,0.7,-0.6,80,11.2,0.344,118,19198
Elvis Andrus,Rangers,689,5.5%,14.7%,0.38,0.297,0.337,0.471,0.808,0.174,5.7,0.325,5.0,-1.0,0.4,97,13.2,0.344,105,8709
Matt Joyce,Athletics,544,12.1%,20.8%,0.58,0.243,0.335,0.473,0.808,0.230,3.2,0.263,1.1,0.5,0.1,76,10.0,0.343,117,3353
David Peralta,Diamondbacks,577,7.5%,16.3%,0.46,0.293,0.352,0.444,0.796,0.150,4.6,0.333,0.8,0.9,-0.5,81,10.2,0.342,104,2136
DJ LeMahieu,Rockies,682,8.7%,13.2%,0.66,0.310,0.374,0.409,0.783,0.099,3.9,0.351,0.2,-3.2,-1.5,95,12.0,0.342,94,9874
Corey Dickerson,Rays,629,5.6%,24.2%,0.23,0.282,0.325,0.490,0.815,0.207,4.0,0.338,0.4,0.3,-0.8,87,10.6,0.341,116,10762
Nicholas Castellanos,Tigers,665,6.2%,21.4%,0.29,0.272,0.320,0.490,0.811,0.218,4.6,0.313,0.0,-0.4,-1.7,92,11.2,0.341,111,11737
Shin-Soo Choo,Rangers,636,12.1%,21.1%,0.57,0.261,0.357,0.423,0.780,0.162,4.7,0.305,-0.9,-1.5,0.7,87,9.7,0.339,102,3174
Mookie Betts,Red Sox,712,10.8%,11.1%,0.97,0.264,0.344,0.459,0.803,0.194,5.5,0.268,4.1,1.6,3.5,98,10.8,0.339,107,13611
Josh Bell,Pirates,620,10.6%,18.9%,0.56,0.255,0.334,0.466,0.800,0.211,3.5,0.278,-5.0,-0.1,-1.7,85,9.1,0.338,108,13145
Asdrubal Cabrera,Mets,540,9.3%,15.4%,0.60,0.280,0.351,0.434,0.785,0.154,2.5,0.310,-6.2,-2.1,-0.6,74,7.8,0.338,112,4962
Brett Gardner,Yankees,682,10.6%,17.9%,0.59,0.264,0.350,0.428,0.778,0.163,6.0,0.300,2.4,1.6,2.0,92,8.9,0.336,110,9927
Wil Myers,Padres,649,10.8%,27.7%,0.39,0.243,0.328,0.464,0.792,0.220,5.3,0.297,-0.5,0.0,1.1,87,7.8,0.335,107,10047
Didi Gregorius,Yankees,570,4.4%,12.3%,0.36,0.287,0.318,0.478,0.796,0.191,2.7,0.287,1.2,2.0,-0.1,76,6.6,0.335,109,6012
Todd Frazier,- - -,576,14.4%,21.7%,0.66,0.213,0.344,0.428,0.772,0.215,3.1,0.226,-1.1,-0.1,-0.8,77,6.6,0.335,109,785
Robinson Cano,Mariners,648,7.6%,13.1%,0.58,0.280,0.338,0.453,0.791,0.172,2.0,0.294,-2.0,-0.8,-0.2,86,7.3,0.334,112,3269
Adam Jones,Orioles,635,4.3%,17.8%,0.24,0.285,0.322,0.466,0.787,0.181,2.7,0.312,3.6,-1.9,-0.4,84,7.0,0.334,106,6368
Tim Beckham,- - -,575,6.3%,29.0%,0.22,0.278,0.328,0.454,0.782,0.176,4.4,0.365,1.5,0.4,-1.3,76,6.3,0.334,109,7949
Jean Segura,Mariners,566,6.0%,14.7%,0.41,0.300,0.349,0.427,0.776,0.128,5.5,0.339,1.1,-2.2,0.6,75,6.2,0.334,111,5933
Whit Merrifield,Royals,630,4.6%,14.0%,0.33,0.288,0.324,0.460,0.784,0.172,6.7,0.308,2.2,-0.8,3.0,83,6.0,0.332,105,11281
Andrew Benintendi,Red Sox,658,10.6%,17.0%,0.63,0.271,0.352,0.424,0.776,0.154,4.5,0.301,-0.4,0.4,1.4,86,6.2,0.332,102,17901
Josh Harrison,Pirates,542,5.2%,16.6%,0.31,0.272,0.339,0.432,0.771,0.160,4.9,0.303,0.7,1.1,0.4,71,5.1,0.332,104,8202
J.T. Realmuto,Marlins,579,6.2%,18.3%,0.34,0.278,0.332,0.451,0.783,0.173,5.0,0.318,1.0,0.2,0.4,76,5.4,0.332,107,11739
Curtis Granderson,- - -,527,13.5%,23.3%,0.58,0.212,0.323,0.452,0.775,0.241,4.8,0.228,1.5,1.3,0.1,68,4.1,0.330,106,4747
Scott Schebler,Reds,531,7.3%,23.5%,0.31,0.233,0.307,0.484,0.791,0.252,3.9,0.248,0.1,1.1,-0.5,69,4.0,0.330,98,12225
Chase Headley,Yankees,586,10.2%,22.5%,0.45,0.273,0.352,0.406,0.758,0.133,4.3,0.341,-0.9,1.6,0.5,75,4.0,0.329,105,4720
Odubel Herrera,Phillies,563,5.5%,22.4%,0.25,0.281,0.325,0.452,0.778,0.171,4.3,0.345,1.9,-0.1,-0.8,72,3.7,0.329,100,11476
Joe Panik,Giants,573,8.0%,9.4%,0.85,0.288,0.347,0.421,0.768,0.133,4.2,0.301,-2.5,0.4,0.0,74,3.7,0.329,104,11936
Ender Inciarte,Braves,718,6.8%,13.1%,0.52,0.304,0.350,0.409,0.759,0.106,5.4,0.339,2.3,-0.1,0.1,92,4.0,0.328,98,4922
Manny Machado,Orioles,690,7.2%,16.7%,0.43,0.259,0.310,0.471,0.782,0.213,3.3,0.265,-3.7,-1.0,-0.3,88,3.9,0.328,102,11493
Carlos Gonzalez,Rockies,534,10.5%,22.3%,0.47,0.262,0.339,0.423,0.762,0.162,3.2,0.318,-1.4,0.6,0.3,68,2.7,0.327,85,7287
Adam Duvall,Reds,647,6.0%,26.3%,0.23,0.249,0.301,0.480,0.782,0.232,3.9,0.290,-2.0,2.3,-0.6,82,3.1,0.327,96,10950
Kyle Seager,Mariners,650,8.9%,16.9%,0.53,0.249,0.323,0.450,0.773,0.201,2.2,0.262,-3.2,2.7,-0.4,82,3.1,0.326,106,9785
David Freese,Pirates,503,11.5%,23.1%,0.50,0.263,0.368,0.371,0.739,0.108,1.0,0.336,-3.4,0.0,-0.8,64,2.3,0.326,100,9549
Mitch Moreland,Red Sox,576,9.9%,20.8%,0.48,0.246,0.326,0.443,0.769,0.197,1.7,0.278,-1.1,-0.6,-0.7,73,2.3,0.326,98,3086
Javier Baez,Cubs,508,5.9%,28.3%,0.21,0.273,0.317,0.480,0.796,0.207,5.3,0.345,2.8,0.5,0.5,64,2.0,0.326,98,12979
Denard Span,Giants,542,7.4%,12.7%,0.58,0.272,0.329,0.427,0.756,0.155,5.5,0.295,1.1,-0.9,-0.9,68,1.9,0.325,102,8347
Andrelton Simmons,Angels,647,7.3%,10.4%,0.70,0.278,0.331,0.421,0.752,0.143,5.0,0.291,2.7,-1.6,0.9,80,1.0,0.323,102,10847
Trevor Story,Rockies,555,8.8%,34.4%,0.26,0.239,0.308,0.457,0.765,0.219,4.7,0.332,0.8,-0.1,0.3,68,0.8,0.323,82,12564
Xander Bogaerts,Red Sox,635,8.8%,18.3%,0.48,0.273,0.343,0.403,0.746,0.130,6.7,0.327,6.3,-0.2,2.2,78,0.3,0.321,95,12161
Nick Markakis,Braves,670,10.1%,16.4%,0.62,0.275,0.354,0.384,0.738,0.110,1.9,0.324,0.8,-0.4,-1.3,81,-0.2,0.321,94,5930
Ryon Healy,Athletics,605,3.8%,23.5%,0.16,0.271,0.302,0.451,0.754,0.181,1.4,0.319,0.1,-1.2,-0.7,73,-0.6,0.320,101,15447
Kendrys Morales,Blue Jays,608,7.1%,21.7%,0.33,0.250,0.308,0.445,0.753,0.196,1.1,0.278,-7.5,-1.6,-0.3,73,-0.7,0.320,98,8610
Melky Cabrera,- - -,666,5.4%,11.1%,0.49,0.285,0.324,0.423,0.746,0.137,2.3,0.299,-1.3,-1.4,-1.1,80,-0.9,0.319,98,4022
Hanley Ramirez,Red Sox,553,9.2%,21.0%,0.44,0.242,0.320,0.429,0.750,0.188,1.5,0.272,-2.3,-1.6,-1.4,66,-1.4,0.318,92,8001
Nomar Mazara,Rangers,616,8.9%,20.6%,0.43,0.253,0.323,0.422,0.745,0.170,2.6,0.293,-1.9,0.5,-0.8,73,-1.8,0.317,87,14553
Brandon Phillips,- - -,604,3.5%,12.1%,0.29,0.285,0.319,0.416,0.735,0.131,4.1,0.308,1.7,-2.5,-1.5,71,-2.7,0.316,91,791
Yadier Molina,Cardinals,543,5.2%,13.6%,0.38,0.273,0.312,0.439,0.751,0.166,3.9,0.285,-3.9,-1.0,-0.2,64,-2.5,0.316,95,7007
Ben Gamel,Mariners,550,6.5%,22.2%,0.30,0.275,0.322,0.413,0.735,0.138,4.9,0.340,3.1,0.3,0.0,64,-2.6,0.315,99,12160
Max Kepler,Twins,568,8.3%,20.1%,0.41,0.243,0.312,0.425,0.737,0.182,4.2,0.276,1.0,1.6,0.5,66,-2.9,0.315,94,12144
Kole Calhoun,Angels,654,10.9%,20.5%,0.53,0.244,0.333,0.392,0.725,0.148,3.7,0.284,-1.4,0.8,0.1,76,-3.4,0.315,97,11200
Yolmer Sanchez,White Sox,534,6.6%,20.8%,0.32,0.267,0.319,0.413,0.732,0.147,5.3,0.321,1.7,-0.5,-2.5,61,-3.6,0.313,95,11602
Jackie Bradley Jr.,Red Sox,541,8.9%,22.9%,0.39,0.245,0.323,0.402,0.726,0.158,4.5,0.294,3.4,1.6,0.0,62,-3.7,0.313,89,12984
Miguel Cabrera,Tigers,529,10.2%,20.8%,0.49,0.249,0.329,0.399,0.728,0.149,1.1,0.292,-5.8,-1.5,-0.8,61,-3.7,0.313,92,1744
Ian Kinsler,Tigers,613,9.0%,14.0%,0.64,0.236,0.313,0.412,0.725,0.176,5.6,0.244,1.7,-0.5,0.3,70,-4.3,0.313,92,6195
Evan Longoria,Rays,677,6.8%,16.1%,0.42,0.261,0.313,0.424,0.737,0.163,3.8,0.282,1.4,-0.4,0.4,78,-4.8,0.312,97,9368
Jose Reyes,Mets,561,8.9%,14.1%,0.63,0.246,0.315,0.413,0.728,0.168,7.2,0.263,1.3,2.2,1.9,64,-4.0,0.312,95,1736
Dee Gordon,Marlins,695,3.6%,13.4%,0.27,0.308,0.341,0.375,0.716,0.067,8.5,0.354,4.4,0.2,4.7,80,-5.0,0.312,94,8203
Chris Davis,Orioles,524,11.6%,37.2%,0.31,0.215,0.309,0.423,0.732,0.208,2.7,0.301,-1.3,0.9,-0.5,60,-3.9,0.312,91,9272
Byron Buxton,Twins,511,7.4%,29.4%,0.25,0.253,0.314,0.413,0.728,0.160,8.2,0.339,4.4,2.3,5.1,58,-4.0,0.312,92,14161
Yangervis Solarte,Padres,512,7.2%,11.9%,0.61,0.255,0.314,0.416,0.731,0.161,2.4,0.258,-0.6,-2.8,0.3,58,-4.2,0.311,91,5352
Manuel Margot,Padres,529,6.6%,20.0%,0.33,0.263,0.313,0.409,0.721,0.146,6.1,0.309,0.6,0.3,0.1,59,-5.1,0.309,90,14712
Orlando Arcia,Brewers,548,6.6%,18.2%,0.36,0.277,0.324,0.407,0.731,0.130,4.1,0.317,1.5,-0.5,-0.5,61,-5.3,0.309,86,13185
Jorge Polanco,Twins,544,7.5%,14.3%,0.53,0.256,0.313,0.410,0.723,0.154,4.9,0.278,1.7,1.8,0.2,61,-5.3,0.309,90,13152
Jordy Mercer,Pirates,558,9.1%,15.8%,0.58,0.255,0.326,0.406,0.733,0.151,2.9,0.284,2.0,-0.9,-2.0,62,-5.9,0.308,88,6547
Tommy Joseph,Phillies,533,6.2%,24.2%,0.26,0.240,0.289,0.432,0.721,0.192,2.2,0.280,-1.3,-3.0,-0.1,58,-7.0,0.305,84,10349
Hunter Pence,Giants,539,7.4%,18.9%,0.39,0.260,0.315,0.385,0.701,0.126,3.6,0.301,2.7,1.2,-1.2,58,-8.1,0.303,87,8252
Kevin Pillar,Blue Jays,632,5.2%,15.0%,0.35,0.256,0.300,0.404,0.704,0.148,4.4,0.280,1.0,-0.1,0.1,67,-9.9,0.302,86,12434
Brandon Crawford,Giants,570,7.4%,19.8%,0.37,0.253,0.305,0.403,0.709,0.151,2.5,0.293,0.6,-0.4,-1.8,60,-9.5,0.301,86,5343
Freddy Galvis,Phillies,663,6.8%,16.7%,0.41,0.255,0.309,0.382,0.690,0.127,5.3,0.292,-0.4,1.0,0.3,68,-13.0,0.298,79,6609
Mark Trumbo,Orioles,603,7.0%,24.7%,0.28,0.234,0.289,0.397,0.686,0.163,2.5,0.278,-0.4,-0.4,-0.1,60,-13.2,0.295,79,6876
Jose Bautista,Blue Jays,686,12.2%,24.8%,0.49,0.203,0.308,0.366,0.674,0.164,3.4,0.239,-3.3,-1.1,-0.5,68,-15.2,0.295,81,1887
Maikel Franco,Phillies,623,6.6%,15.2%,0.43,0.230,0.281,0.409,0.690,0.179,1.5,0.234,-0.5,-2.3,-0.3,61,-15.3,0.292,76,12179
Tim Anderson,White Sox,606,2.1%,26.7%,0.08,0.257,0.276,0.402,0.679,0.145,6.2,0.328,1.3,0.1,2.3,57,-16.6,0.288,79,15172
Albert Pujols,Angels,636,5.8%,14.6%,0.40,0.241,0.286,0.386,0.672,0.145,2.1,0.249,-3.8,-2.8,0.3,59,-18.8,0.286,77,1177
Carlos Beltran,Astros,509,6.5%,20.0%,0.32,0.231,0.283,0.383,0.666,0.152,1.8,0.263,-2.7,0.1,-0.2,46,-16.1,0.283,76,589
Billy Hamilton,Reds,633,7.0%,21.0%,0.33,0.247,0.299,0.335,0.634,0.088,9.0,0.313,3.0,0.5,5.9,54,-22.9,0.278,65,10199
Dansby Swanson,Braves,551,10.7%,21.8%,0.49,0.232,0.312,0.324,0.636,0.092,3.2,0.292,1.0,1.6,-1.0,46,-21.0,0.276,64,18314
Jose Peraza,Reds,518,3.9%,13.5%,0.29,0.259,0.297,0.324,0.622,0.066,5.8,0.293,1.5,0.4,0.9,42,-21.1,0.273,61,13593
Rougned Odor,Rangers,651,4.9%,24.9%,0.20,0.204,0.252,0.397,0.649,0.193,5.6,0.224,1.4,0.2,0.2,53,-26.8,0.272,56,12282
Alex Gordon,Royals,541,8.3%,23.3%,0.36,0.208,0.293,0.315,0.608,0.107,4.3,0.261,0.6,0.9,-0.6,42,-23.5,0.269,62,5209
Alcides Escobar,Royals,629,2.4%,16.2%,0.15,0.250,0.272,0.357,0.629,0.107,4.3,0.291,5.6,0.4,-2.5,49,-27.7,0.269,61,6310
