last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,
Martinez, Victor,2018,0.270,0.418,0.320,0.318,0.148,87.8,14.1,35.3,20,4.7,5.2,28.9,28.7,29.4,2.8,30.6,68.4,9.3,31.9,23.9,76.1,77,322,52.9,1008,82.3,6.8,369,1131,396,1908,90.7,57,615,47.1,899,43.5,830,14.3,49.1,39.5,35.1,25.4,425,57.5,41.6,177,24.9,106,26.6,113,6.8,29,0,4.87,23.2,
Mauer, Joe,2018,0.298,0.455,0.359,0.367,0.157,91.1,4.5,36.9,20,5.0,7.2,31.4,12.6,39.1,1.7,44.3,49.7,8.4,19.3,35.1,64.9,71,202,47.6,1048,56.0,7.2,214,1529,456,2257,91.6,48,572,52.4,1152,44.0,968,15.1,35.3,24.5,42.3,33.2,404,60.4,52.2,211,16.3,66,29.7,120,1.7,7,0,4.57,26.0,
Choo, Shin-Soo,2018,0.253,0.471,0.367,0.368,0.217,89.3,6.1,35.9,45,11.1,6.9,25.1,15.2,38.1,3.2,40.5,60.5,21.0,21.7,42.3,57.7,131,310,51.7,1430,65.6,6.9,344,1701,722,2770,79.0,170,810,48.3,1338,43.8,1213,27.0,40.5,33.4,40.5,26.0,407,58.2,51.1,208,20.6,84,26.3,107,2.0,8,1,4.43,26.0,
Molina, Yadier,2018,0.271,0.443,0.338,0.325,0.172,88.2,15.4,37.6,22,5.5,7.0,26.8,27.8,28.8,3.8,33.8,70.4,13.3,35.3,25.0,75.0,88,352,50.6,997,74.0,6.7,186,1225,555,1969,86.7,91,684,49.4,972,41.0,808,17.3,52.6,45.4,33.8,20.8,399,64.0,40.4,161,25.8,103,27.1,108,6.8,27,0,4.91,22.9,
Encarnacion, Edwin,2018,0.247,0.486,0.362,0.343,0.238,89.9,18,34.1,42,11.2,8.0,21.9,26.7,26.9,2.9,41.4,66.3,19.0,24.7,43.8,56.2,128,292,52.6,1184,79.0,7.0,197,1248,803,2293,81.0,134,707,47.4,1066,41.8,940,26.3,44.6,43.7,32.5,23.7,375,57.2,37.3,140,30.1,113,23.7,89,8.8,33,0,4.84,24.5,
Jones, Adam,2018,0.271,0.418,0.315,0.305,0.147,88.3,13.2,35.6,24,4.9,5.3,27.5,27.3,32.2,1.8,33.1,72.5,13.0,39.4,40.9,59.1,187,457,53.5,1160,77.4,6.1,290,1206,644,2167,87.0,95,730,46.5,1007,42.3,917,23.8,54.8,34.0,39.3,26.7,491,65.9,43.6,214,21.8,107,25.9,127,8.8,43,0,4.53,26.7,
Kinsler, Ian,2018,0.251,0.376,0.307,0.313,0.124,85.3,17.7,36.6,13,3.1,3.8,24.2,34.3,29.8,4.7,26.2,66.1,7.5,24.4,25.4,74.6,64,252,49.6,1033,79.4,7.9,203,1339,536,2086,92.5,52,693,50.4,1049,44.3,922,12.2,45.4,39.9,37.3,22.8,426,57.5,36.9,157,23.9,102,27.2,116,12.0,51,0,4.53,26.6,
Desmond, Ian,2018,0.230,0.390,0.306,0.303,0.160,90.1,-0.1,28.5,29,7.0,5.3,20.0,12.8,52.4,1.9,43.2,69.6,20.8,27.1,49.4,50.6,157,318,50.5,1172,82.3,7.5,224,1481,614,2322,79.2,166,799,49.5,1148,46.1,1070,28.9,48.1,24.6,45.4,30.0,414,65.4,61.6,255,14.5,60,21.0,87,2.9,12,3,4.36,28.1,
Cruz, Nelson,2018,0.282,0.561,0.395,0.366,0.279,93.9,12.8,31.3,55,13.8,7.0,23.5,22.8,31.3,1.8,51.8,68.7,18.0,28.3,55.4,44.6,196,354,55.0,1253,76.6,7.3,217,1270,770,2282,82.0,127,705,45.0,1026,40.8,930,30.6,46.5,37.8,39.8,22.5,400,54.3,44.8,179,27.0,108,20.3,81,8.0,32,0,4.73,24.9,
Peralta, David,2018,0.282,0.480,0.357,0.344,0.197,91.5,6.7,32.9,34,7.8,8.4,24.7,17.4,39.3,2.5,46.3,67.1,17.3,28.5,39.3,60.7,126,321,49.6,1126,76.8,7.4,296,1442,532,2272,82.7,133,768,50.4,1144,44.4,1009,23.7,48.0,33.8,41.1,25.1,438,61.7,51.1,224,18.5,81,25.3,111,5.0,22,0,4.35,27.2,
Escobar, Alcides,2018,0.242,0.336,0.282,0.292,0.094,84.6,10.6,30.0,9,2.1,3.5,22.2,27.7,37.4,4.0,21.5,71.3,14.5,31.3,34.4,65.6,103,299,49.6,954,76.8,8.1,167,1154,598,1928,85.5,100,691,50.4,969,40.9,786,20.5,51.4,35.9,38.5,25.5,423,65.9,48.5,205,21.7,92,24.1,102,5.7,24,0,4.33,27.6,
Jay, Jon,2018,0.256,0.343,0.301,0.321,0.087,85.1,4.2,31.6,8,1.8,3.0,30.9,14.3,44.8,2.7,21.4,64.9,11.2,32.8,37.4,62.6,138,369,49.9,1125,72.1,7.3,263,1448,541,2256,88.8,82,732,50.1,1128,42.8,964,20.0,48.8,29.1,40.0,30.9,440,62.6,60.7,267,13.0,57,25.7,113,0.7,3,0,4.50,26.0,
