last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Herrera, Odubel,2018.0,0.233,0.36200000000000004,0.289,0.292,0.128,86.7,13.2,28.8,21.0,4.9,5.8,20.7,26.3,35.6,4.0,31.9,68.1,17.5,37.9,43.7,56.3,205.0,469.0,53.9,1237.0,72.5,7.3,363.0,1407.0,522.0,2319.0,82.5,126.0,719.0,46.1,1056.0,42.6,976.0,27.7,51.7,36.7,35.3,27.9,430.0,64.3,45.3,195.0,21.4,92.0,21.9,94.0,11.4,49.0,2.0,4.23,26.6,Odubel Herrera*\herreod01,94.0, Herrera,0.4, Herrera,96.0
Hicks, Aaron,2018.0,0.265,0.473,0.376,0.384,0.20800000000000002,89.7,13.2,34.2,33.0,8.8,7.2,22.5,25.7,32.4,1.9,43.0,64.6,20.0,18.0,33.9,66.1,81.0,239.0,53.6,1331.0,80.0,6.6,504.0,1392.0,583.0,2487.0,80.0,149.0,746.0,46.4,1154.0,42.2,1048.0,23.4,39.6,38.7,43.5,17.8,377.0,53.0,41.4,156.0,26.0,98.0,24.4,92.0,8.2,31.0,8.0,4.17,28.1,Aaron Hicks#\hicksaa01,127.0, Hicks,3.4, Hicks,129.0
Hoskins, Rhys,2018.0,0.23399999999999999,0.46299999999999997,0.354,0.34700000000000003,0.22899999999999998,89.0,22.6,35.8,47.0,11.4,9.2,19.9,34.4,21.3,2.7,39.5,60.1,15.8,19.5,39.9,60.1,116.0,291.0,51.5,1490.0,67.1,7.9,373.0,1640.0,881.0,2919.0,84.1,133.0,844.0,48.5,1405.0,41.5,1202.0,21.8,39.2,47.0,33.7,19.4,413.0,52.7,29.8,123.0,34.6,143.0,22.8,94.0,12.8,53.0,0.0,4.56,26.3,Rhys Hoskins\hoskirh01,125.0, Hoskins,0.8, Hoskins,128.0
Hosmer, Eric,2018.0,0.252,0.389,0.313,0.32299999999999995,0.13699999999999998,88.8,-1.4,26.7,28.0,5.9,4.0,22.7,12.9,48.7,4.2,38.2,70.7,18.0,29.2,48.1,51.9,188.0,391.0,53.1,1339.0,84.4,5.8,310.0,1487.0,719.0,2571.0,82.0,150.0,835.0,46.9,1181.0,42.3,1066.0,27.6,48.5,28.6,40.0,31.4,472.0,56.4,61.0,288.0,13.1,62.0,21.0,99.0,4.9,23.0,0.0,4.46,26.3,Eric Hosmer*\hosmeer01,100.0, Hosmer,-2.2, Hosmer,95.0
Inciarte, Ender,2018.0,0.257,0.34700000000000003,0.303,0.321,0.09,84.9,10.8,32.6,8.0,1.5,3.5,27.4,26.4,35.1,3.3,18.7,68.8,9.9,30.0,25.6,74.4,94.0,367.0,50.8,1224.0,76.4,7.4,295.0,1518.0,583.0,2415.0,90.1,81.0,815.0,49.2,1184.0,43.1,1038.0,14.7,49.2,36.8,38.0,25.2,519.0,63.2,46.8,243.0,21.8,113.0,26.0,135.0,5.4,28.0,0.0,4.12,27.9,Ender Inciarte*\inciaen01,90.0, Inciarte,5.2, Inciarte,90.0
Jay, Jon,2018.0,0.256,0.34299999999999997,0.301,0.321,0.087,85.1,4.2,31.6,8.0,1.8,3.0,30.9,14.3,44.8,2.7,21.4,64.9,11.2,32.8,37.4,62.6,138.0,369.0,49.9,1125.0,72.1,7.3,263.0,1448.0,541.0,2256.0,88.8,82.0,732.0,50.1,1128.0,42.8,964.0,20.0,48.8,29.1,40.0,30.9,440.0,62.6,60.7,267.0,13.0,57.0,25.7,113.0,0.7,3.0,0.0,4.5,26.0,Jon Jay*\jayjo02,83.0, Jay,-0.7, Jay,87.0
Jones, Adam,2018.0,0.271,0.418,0.315,0.305,0.147,88.3,13.2,35.6,24.0,4.9,5.3,27.5,27.3,32.2,1.8,33.1,72.5,13.0,39.4,40.9,59.1,187.0,457.0,53.5,1160.0,77.4,6.1,290.0,1206.0,644.0,2167.0,87.0,95.0,730.0,46.5,1007.0,42.3,917.0,23.8,54.8,34.0,39.3,26.7,491.0,65.9,43.6,214.0,21.8,107.0,25.9,127.0,8.8,43.0,0.0,4.53,26.7,Adam Jones\jonesad01,101.0, Jones,1.0, Jones,96.0
Kemp, Matt,2018.0,0.275,0.526,0.363,0.327,0.251,89.6,15.8,42.1,39.0,11.0,5.9,25.7,26.6,24.6,2.8,39.1,72.9,22.9,31.4,44.0,56.0,129.0,293.0,52.5,934.0,79.2,6.7,216.0,979.0,584.0,1833.0,77.1,141.0,617.0,47.5,846.0,42.6,758.0,29.4,50.7,40.4,37.0,22.6,354.0,64.4,36.4,129.0,26.6,94.0,31.6,112.0,5.4,19.0,0.0,4.53,26.2,Matt Kemp\kempma01,121.0, Kemp,-2.7, Kemp,122.0
Kepler, Max,2018.0,0.23600000000000002,0.41,0.32799999999999996,0.332,0.174,89.5,16.2,30.1,29.0,6.6,7.5,18.0,33.7,29.8,3.0,38.2,64.8,9.5,21.0,42.6,57.4,106.0,249.0,51.1,1185.0,68.9,7.2,295.0,1439.0,583.0,2351.0,90.5,70.0,736.0,48.9,1136.0,42.7,992.0,18.0,42.6,41.9,33.7,24.4,439.0,58.1,37.8,166.0,29.2,128.0,23.9,105.0,9.1,40.0,5.0,4.27,27.9,Max Kepler*\keplema01,97.0, Kepler,1.5, Kepler,98.0
Kinsler, Ian,2018.0,0.251,0.376,0.307,0.313,0.124,85.3,17.7,36.6,13.0,3.1,3.8,24.2,34.3,29.8,4.7,26.2,66.1,7.5,24.4,25.4,74.6,64.0,252.0,49.6,1033.0,79.4,7.9,203.0,1339.0,536.0,2086.0,92.5,52.0,693.0,50.4,1049.0,44.3,922.0,12.2,45.4,39.9,37.3,22.8,426.0,57.5,36.9,157.0,23.9,102.0,27.2,116.0,12.0,51.0,0.0,4.53,26.6,Ian Kinsler\kinslia01,86.0, Kinsler,2.5, Kinsler,87.0
