Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Miguel Andujar,Yankees,606,4.1%,16.0%,0.26,0.297,0.328,0.527,0.855,0.230,3.3,0.316,0.2,1.1,-0.3,94,22.9,0.361,130,15878
Nelson Cruz,Mariners,591,9.3%,20.6%,0.45,0.256,0.342,0.509,0.850,0.252,2.1,0.264,-3.4,-1.2,-0.1,91,22.3,0.361,133,2434
Aaron Hicks,Yankees,581,15.5%,19.1%,0.81,0.248,0.366,0.467,0.833,0.219,5.3,0.264,3.4,2.6,1.0,89,21.4,0.360,129,5297
Giancarlo Stanton,Yankees,705,9.9%,29.9%,0.33,0.266,0.343,0.509,0.852,0.243,3.8,0.333,-0.2,-0.5,0.6,108,25.9,0.360,129,4949
Lorenzo Cain,Brewers,620,11.5%,15.2%,0.76,0.308,0.395,0.417,0.813,0.109,5.6,0.357,3.8,0.0,2.6,95,22.3,0.359,124,9077
Michael Brantley,Indians,631,7.6%,9.5%,0.80,0.309,0.364,0.468,0.832,0.160,4.8,0.319,1.4,-0.8,0.8,96,22.7,0.359,124,4106
Anthony Rizzo,Cubs,665,10.5%,12.0%,0.88,0.283,0.376,0.470,0.846,0.187,2.6,0.287,-5.7,0.8,-0.9,102,23.9,0.359,125,3473
Tommy Pham,- - -,570,11.8%,24.6%,0.48,0.275,0.367,0.464,0.830,0.188,6.6,0.342,4.1,-1.7,-0.2,87,20.5,0.359,130,2967
Andrew Benintendi,Red Sox,661,10.7%,16.0%,0.67,0.290,0.366,0.465,0.830,0.174,6.7,0.328,0.3,1.5,2.5,100,23.0,0.357,122,17901
Jose Martinez,Cardinals,590,8.3%,17.6%,0.47,0.305,0.364,0.457,0.821,0.152,1.4,0.351,0.1,-0.1,-1.6,89,19.8,0.356,126,7996
Shin-Soo Choo,Rangers,665,13.8%,23.5%,0.59,0.264,0.377,0.434,0.810,0.170,3.5,0.330,0.5,-0.4,0.3,100,22.1,0.355,117,3174
Ben Zobrist,Cubs,520,10.6%,11.5%,0.92,0.305,0.378,0.440,0.817,0.134,3.2,0.331,1.9,0.0,-1.4,78,16.9,0.355,123,7435
Gregory Polanco,Pirates,535,11.4%,21.9%,0.52,0.254,0.340,0.499,0.839,0.245,6.3,0.287,-2.5,0.2,1.3,79,16.8,0.353,123,12907
J.T. Realmuto,Marlins,531,7.2%,19.6%,0.37,0.277,0.340,0.484,0.825,0.208,4.1,0.312,3.8,1.5,-0.5,79,16.7,0.353,126,11739
Yasmani Grandal,Dodgers,518,13.9%,23.9%,0.58,0.241,0.349,0.466,0.815,0.225,3.1,0.278,-4.8,-1.0,-0.3,76,15.6,0.352,125,11368
Stephen Piscotty,Athletics,605,6.9%,18.8%,0.37,0.267,0.331,0.491,0.821,0.223,2.6,0.290,0.8,-2.1,0.1,88,17.8,0.351,126,13367
Travis Shaw,Brewers,587,13.3%,18.4%,0.72,0.241,0.345,0.480,0.825,0.239,2.6,0.242,0.0,0.8,-0.2,86,17.2,0.351,119,11982
Didi Gregorius,Yankees,569,8.4%,12.1%,0.70,0.268,0.335,0.494,0.829,0.226,5.5,0.259,1.9,1.2,-0.8,83,16.5,0.350,122,6012
Whit Merrifield,Royals,707,8.6%,16.1%,0.54,0.304,0.367,0.438,0.806,0.134,6.1,0.352,3.1,-0.1,4.4,103,20.0,0.349,119,11281
Justin Smoak,Blue Jays,594,14.0%,26.3%,0.53,0.242,0.350,0.457,0.808,0.216,1.1,0.297,-6.6,0.1,-0.8,86,16.6,0.349,121,9054
Justin Upton,Angels,613,10.4%,28.7%,0.36,0.257,0.344,0.463,0.808,0.206,3.8,0.321,-0.3,-0.2,0.4,88,16.7,0.348,123,5222
Matt Kemp,Dodgers,506,7.1%,22.7%,0.31,0.290,0.338,0.481,0.818,0.190,1.2,0.339,-2.7,-1.2,-0.3,73,13.8,0.348,122,5631
Jed Lowrie,Athletics,680,11.5%,18.8%,0.61,0.267,0.353,0.448,0.801,0.181,1.4,0.304,-1.5,2.1,-0.4,98,18.1,0.347,123,4418
Andrew McCutchen,- - -,682,13.9%,21.3%,0.66,0.255,0.368,0.424,0.792,0.169,4.2,0.304,-4.2,0.5,-1.3,98,18.1,0.347,121,9847
C.J. Cron,Rays,560,6.6%,25.9%,0.26,0.253,0.323,0.493,0.816,0.240,2.3,0.293,-0.9,-0.2,-0.9,80,14.7,0.347,123,12546
Johan Camargo,Braves,524,9.7%,20.6%,0.47,0.272,0.349,0.457,0.806,0.185,2.3,0.315,-1.8,-0.5,-0.5,75,13.5,0.346,116,14950
Edwin Encarnacion,Indians,579,10.9%,22.8%,0.48,0.246,0.336,0.474,0.810,0.228,3.1,0.265,-4.3,-1.2,0.2,83,14.9,0.346,115,2151
Eduardo Escobar,- - -,631,8.2%,20.0%,0.41,0.272,0.334,0.489,0.824,0.217,2.9,0.308,0.5,-0.4,-1.5,90,16.2,0.346,118,6153
Cody Bellinger,Dodgers,632,10.9%,23.9%,0.46,0.260,0.343,0.470,0.814,0.210,6.3,0.313,0.8,1.3,2.0,90,15.7,0.345,120,15998
Nick Markakis,Braves,705,10.2%,11.3%,0.90,0.297,0.366,0.440,0.806,0.143,2.1,0.318,-1.4,-1.3,-0.7,100,17.2,0.345,115,5930
Joey Gallo,Rangers,577,12.8%,35.9%,0.36,0.206,0.312,0.498,0.810,0.292,3.1,0.249,1.6,2.5,-1.3,81,13.4,0.343,108,14128
Kyle Schwarber,Cubs,510,15.3%,27.5%,0.56,0.238,0.356,0.467,0.823,0.229,3.8,0.288,0.4,1.4,-0.7,71,11.7,0.343,115,16478
Michael Conforto,Mets,638,13.2%,24.9%,0.53,0.243,0.350,0.448,0.797,0.204,2.4,0.289,0.9,0.6,-1.4,89,14.4,0.342,120,16376
Jurickson Profar,Rangers,594,9.1%,14.8%,0.61,0.254,0.335,0.458,0.793,0.204,6.3,0.269,1.5,0.8,1.7,82,12.8,0.341,107,10815
Corey Dickerson,Pirates,533,3.9%,15.0%,0.26,0.300,0.330,0.474,0.804,0.175,5.6,0.333,-1.4,-1.8,0.1,74,11.2,0.341,115,10762
Eddie Rosario,Twins,592,5.1%,17.6%,0.29,0.288,0.323,0.479,0.803,0.191,4.7,0.316,4.5,2.7,0.5,81,12.2,0.340,114,12155
Matt Olson,Athletics,660,10.6%,24.7%,0.43,0.247,0.335,0.453,0.788,0.207,2.3,0.292,-2.1,0.3,-0.4,91,13.5,0.340,118,14344
George Springer,Astros,620,10.3%,19.7%,0.52,0.265,0.346,0.434,0.780,0.169,3.6,0.303,1.2,-1.3,-0.8,85,12.7,0.340,118,12856
Mallex Smith,Rays,544,8.6%,18.0%,0.48,0.296,0.367,0.406,0.773,0.110,7.7,0.366,4.1,-0.2,2.7,75,11.0,0.339,118,13608
Joey Wendle,Rays,545,6.8%,17.6%,0.39,0.300,0.354,0.435,0.789,0.136,6.0,0.353,1.3,0.5,1.2,74,10.2,0.338,117,13853
Jose Abreu,White Sox,553,6.7%,19.7%,0.34,0.265,0.325,0.473,0.798,0.208,3.1,0.294,-0.7,-0.9,0.1,75,10.0,0.337,115,15676
Starling Marte,Pirates,606,5.8%,18.0%,0.32,0.277,0.327,0.460,0.787,0.182,6.6,0.312,2.2,-0.7,0.6,82,11.0,0.337,112,9241
Josh Bell,Pirates,583,13.2%,17.8%,0.74,0.261,0.357,0.411,0.768,0.150,3.3,0.305,-1.4,0.1,-2.0,78,9.9,0.336,111,13145
Chris Taylor,Dodgers,604,9.1%,29.5%,0.31,0.254,0.331,0.444,0.775,0.190,6.3,0.345,4.0,1.4,-1.0,80,9.8,0.335,113,13757
Carlos Santana,Phillies,679,16.2%,13.7%,1.18,0.229,0.352,0.414,0.766,0.186,2.7,0.231,0.4,-0.1,-0.4,90,10.3,0.333,108,2396
Brian Anderson,Marlins,670,9.3%,19.3%,0.48,0.273,0.357,0.400,0.757,0.127,3.5,0.332,2.9,-1.8,-1.7,88,10.0,0.333,112,18289
Asdrubal Cabrera,- - -,592,6.9%,20.1%,0.34,0.262,0.316,0.458,0.774,0.196,1.8,0.296,1.0,-0.3,-0.3,77,8.1,0.332,111,4962
Trea Turner,Nationals,740,9.3%,17.8%,0.52,0.271,0.344,0.416,0.760,0.145,6.8,0.314,2.7,1.2,4.5,96,10.0,0.331,105,16252
Ketel Marte,Diamondbacks,580,9.3%,13.6%,0.68,0.260,0.332,0.437,0.768,0.177,5.8,0.282,-1.0,-0.5,0.5,75,7.3,0.330,106,13613
Mike Moustakas,- - -,635,7.7%,16.2%,0.48,0.251,0.315,0.459,0.774,0.208,2.7,0.259,-3.1,1.1,0.1,81,7.3,0.329,105,4892
Teoscar Hernandez,Blue Jays,523,7.8%,31.2%,0.25,0.239,0.302,0.468,0.771,0.229,5.5,0.313,1.3,-1.3,-1.3,67,5.7,0.328,107,13066
Marcell Ozuna,Cardinals,628,6.1%,17.5%,0.35,0.280,0.325,0.433,0.758,0.153,3.2,0.309,3.1,1.1,0.2,79,6.1,0.327,107,10324
Jean Segura,Mariners,632,5.1%,10.9%,0.46,0.304,0.341,0.415,0.755,0.111,5.5,0.327,2.8,-1.4,-0.9,80,6.1,0.327,110,5933
Derek Dietrich,Marlins,551,5.3%,25.4%,0.21,0.265,0.330,0.421,0.751,0.156,4.1,0.336,-1.8,1.4,0.1,70,5.3,0.326,108,10542
Andrelton Simmons,Angels,600,5.8%,7.3%,0.80,0.292,0.337,0.417,0.754,0.125,5.0,0.300,2.0,-1.7,0.8,76,5.5,0.326,108,10847
Rougned Odor,Rangers,535,8.0%,23.7%,0.34,0.253,0.326,0.424,0.751,0.171,4.9,0.305,0.6,2.3,-2.8,67,4.3,0.325,95,12282
Justin Bour,- - -,501,14.6%,24.8%,0.59,0.227,0.341,0.404,0.746,0.177,2.4,0.270,-6.4,0.1,0.1,63,4.0,0.324,106,9744
Ozzie Albies,Braves,684,5.3%,17.0%,0.31,0.261,0.305,0.452,0.757,0.191,6.2,0.285,4.0,0.4,1.2,85,5.1,0.324,101,16556
Nomar Mazara,Rangers,536,7.5%,21.6%,0.34,0.258,0.317,0.436,0.753,0.178,2.5,0.298,-0.3,-0.6,-0.1,67,3.9,0.324,95,14553
Yuli Gurriel,Astros,573,4.0%,11.0%,0.37,0.291,0.323,0.428,0.751,0.138,3.6,0.306,-0.5,-2.9,0.3,71,4.0,0.323,107,19198
Matt Duffy,Rays,560,8.4%,16.6%,0.51,0.294,0.361,0.366,0.727,0.072,3.9,0.353,-3.4,0.1,-0.5,69,3.9,0.323,107,13836
Yadier Molina,Cardinals,503,5.8%,13.1%,0.44,0.261,0.314,0.436,0.750,0.174,2.5,0.264,-1.5,-1.2,-0.7,62,3.4,0.323,105,7007
DJ LeMahieu,Rockies,581,6.4%,14.1%,0.45,0.276,0.321,0.428,0.749,0.152,4.4,0.298,0.6,-1.0,-1.2,72,3.7,0.322,87,9874
Willson Contreras,Cubs,544,9.7%,22.2%,0.44,0.249,0.339,0.390,0.730,0.141,4.3,0.313,-4.6,-0.5,0.1,66,2.7,0.321,100,11609
Cesar Hernandez,Phillies,708,13.4%,21.9%,0.61,0.253,0.356,0.362,0.718,0.109,5.0,0.315,0.4,-1.1,0.8,86,3.2,0.320,99,10556
Yonder Alonso,Indians,574,8.9%,21.4%,0.41,0.250,0.317,0.421,0.738,0.171,1.2,0.283,-1.4,0.8,-0.3,69,2.1,0.319,97,2530
Jose Peraza,Reds,683,4.2%,11.0%,0.39,0.288,0.326,0.416,0.742,0.128,5.7,0.307,1.9,0.1,1.8,82,2.5,0.319,96,13593
Joe Mauer,Twins,543,9.4%,15.8%,0.59,0.282,0.351,0.379,0.729,0.097,2.2,0.330,0.6,0.0,-0.8,65,1.8,0.319,100,1857
Marwin Gonzalez,Astros,552,9.6%,22.8%,0.42,0.247,0.324,0.409,0.733,0.162,3.2,0.301,-1.5,-0.1,-1.1,66,1.3,0.318,103,5497
Max Kepler,Twins,611,11.6%,15.7%,0.74,0.224,0.319,0.408,0.727,0.184,3.9,0.236,1.5,0.9,-1.6,72,0.9,0.316,98,12144
Starlin Castro,Marlins,647,7.4%,19.2%,0.39,0.278,0.329,0.400,0.729,0.121,3.6,0.330,1.0,-1.9,-0.8,76,0.4,0.315,101,4579
Adam Jones,Orioles,613,3.9%,15.2%,0.26,0.281,0.313,0.419,0.732,0.138,3.0,0.311,1.0,-2.5,0.6,72,0.3,0.315,96,6368
Ian Desmond,Rockies,619,8.6%,23.6%,0.36,0.236,0.307,0.422,0.729,0.186,7.0,0.279,0.8,-2.0,1.2,73,0.2,0.315,82,6885
Odubel Herrera,Phillies,597,6.4%,20.4%,0.31,0.255,0.310,0.420,0.730,0.165,3.7,0.290,0.4,1.5,-0.2,70,0.1,0.315,96,11476
Jonathan Villar,- - -,515,8.0%,26.8%,0.30,0.260,0.325,0.384,0.709,0.124,5.6,0.339,0.3,-1.6,4.6,59,-1.2,0.312,93,10071
Yoan Moncada,White Sox,650,10.3%,33.4%,0.31,0.235,0.315,0.400,0.714,0.164,5.5,0.344,0.9,1.7,-0.4,74,-1.8,0.311,97,17232
Jeimer Candelario,Tigers,619,10.7%,25.8%,0.41,0.224,0.317,0.393,0.710,0.169,4.0,0.279,1.3,2.1,-0.6,70,-2.0,0.311,94,13621
Jackie Bradley Jr.,Red Sox,535,8.6%,25.6%,0.34,0.234,0.314,0.403,0.717,0.169,7.1,0.299,2.3,0.7,2.7,61,-1.9,0.310,90,12984
Eric Hosmer,Padres,677,9.2%,21.0%,0.44,0.253,0.322,0.398,0.720,0.145,3.5,0.302,-2.2,-1.4,-0.6,76,-2.9,0.309,95,3516
Ender Inciarte,Braves,660,7.4%,13.0%,0.57,0.265,0.325,0.380,0.705,0.116,6.1,0.293,5.2,1.4,-0.5,74,-3.4,0.308,90,4922
Jason Kipnis,Indians,601,10.0%,18.6%,0.54,0.230,0.315,0.389,0.704,0.158,3.9,0.258,0.0,1.9,0.6,67,-3.1,0.308,89,9776
Trey Mancini,Orioles,636,6.9%,24.1%,0.29,0.242,0.299,0.416,0.715,0.174,2.4,0.285,2.7,-2.2,-0.7,71,-3.6,0.308,91,15149
Marcus Semien,Athletics,703,8.7%,18.6%,0.47,0.255,0.318,0.388,0.706,0.133,4.7,0.296,1.3,0.4,-0.1,78,-4.1,0.307,96,12533
Tucker Barnhart,Reds,522,10.3%,18.4%,0.56,0.248,0.328,0.372,0.699,0.124,2.8,0.291,-1.3,-0.9,-2.0,58,-3.1,0.307,89,10200
Brandon Crawford,Giants,594,8.4%,20.5%,0.41,0.254,0.325,0.394,0.719,0.139,3.0,0.303,0.2,0.6,-1.6,65,-4.2,0.306,94,5343
Brett Gardner,Yankees,609,10.7%,17.6%,0.61,0.236,0.322,0.368,0.690,0.132,7.3,0.272,6.1,0.8,2.0,66,-4.9,0.305,91,9927
Alex Gordon,Royals,568,8.8%,21.8%,0.40,0.245,0.324,0.370,0.694,0.125,3.8,0.299,-2.3,1.0,1.2,62,-4.7,0.305,89,5209
Salvador Perez,Royals,544,3.1%,19.9%,0.16,0.235,0.274,0.439,0.713,0.204,1.6,0.245,-3.3,-1.5,-0.4,59,-4.7,0.304,89,7304
Brian Dozier,- - -,632,11.1%,20.4%,0.54,0.215,0.305,0.391,0.696,0.175,4.9,0.240,-0.4,-1.1,0.8,68,-5.6,0.304,90,9810
Kevin Pillar,Blue Jays,542,3.3%,18.1%,0.18,0.252,0.282,0.426,0.708,0.174,5.6,0.281,2.1,1.1,1.3,58,-5.7,0.302,89,12434
Jon Jay,- - -,586,5.6%,16.2%,0.35,0.268,0.330,0.347,0.678,0.080,5.3,0.319,-0.7,-1.2,-0.8,62,-6.3,0.301,87,5227
Nick Ahmed,Diamondbacks,564,7.1%,19.3%,0.37,0.234,0.290,0.411,0.700,0.176,4.4,0.265,0.9,-1.1,-0.9,59,-6.9,0.300,85,12147
Ian Kinsler,- - -,534,7.5%,12.0%,0.63,0.240,0.301,0.380,0.681,0.140,4.4,0.250,2.5,-1.8,0.1,55,-7.3,0.298,87,6195
Yolmer Sanchez,White Sox,662,7.4%,20.8%,0.36,0.242,0.306,0.372,0.678,0.130,5.9,0.300,-1.1,1.2,0.0,68,-9.7,0.297,87,11602
Ryon Healy,Mariners,524,5.2%,21.6%,0.24,0.235,0.277,0.412,0.688,0.176,0.9,0.257,-2.2,-2.8,-0.3,53,-7.9,0.296,89,15447
Evan Longoria,Giants,512,4.3%,19.7%,0.22,0.244,0.281,0.413,0.694,0.169,4.2,0.274,0.0,-0.2,0.0,51,-8.3,0.295,87,9368
Tim Anderson,White Sox,606,5.0%,24.6%,0.20,0.240,0.281,0.406,0.687,0.166,6.3,0.289,2.8,-1.7,1.7,61,-10.0,0.294,86,15172
Freddy Galvis,Padres,656,6.9%,22.4%,0.31,0.248,0.299,0.380,0.680,0.133,4.3,0.304,-0.3,1.6,-1.2,66,-11.1,0.294,85,6609
Dansby Swanson,Braves,533,8.3%,22.9%,0.36,0.238,0.304,0.395,0.699,0.157,4.9,0.290,1.8,1.2,0.1,53,-9.6,0.293,80,18314
Amed Rosario,Mets,592,4.9%,20.1%,0.24,0.256,0.295,0.381,0.676,0.125,7.0,0.310,4.7,0.3,0.0,57,-11.8,0.290,85,15518
Manuel Margot,Padres,519,6.2%,17.0%,0.36,0.245,0.292,0.384,0.675,0.138,5.6,0.281,0.9,-0.2,-2.1,49,-11.3,0.288,81,14712
Kyle Seager,Mariners,630,6.0%,21.9%,0.28,0.221,0.273,0.400,0.673,0.178,2.6,0.251,-2.2,0.9,-0.7,60,-13.8,0.288,83,9785
Yangervis Solarte,Blue Jays,506,6.1%,14.2%,0.43,0.226,0.277,0.378,0.655,0.152,1.8,0.233,-3.8,-2.6,-1.3,46,-12.8,0.284,77,5352
Kole Calhoun,Angels,552,9.6%,24.1%,0.40,0.208,0.283,0.369,0.652,0.161,4.7,0.241,-0.9,-0.1,0.1,50,-14.2,0.283,79,11200
Miguel Rojas,Marlins,528,4.5%,13.1%,0.35,0.252,0.297,0.346,0.643,0.094,2.7,0.272,-1.6,-3.2,-0.3,47,-14.3,0.282,78,7802
Victor Martinez,Tigers,508,6.3%,9.6%,0.65,0.251,0.297,0.353,0.651,0.103,0.5,0.260,-0.5,-3.3,-0.3,45,-13.9,0.281,74,393
Billy Hamilton,Reds,556,8.3%,23.7%,0.35,0.236,0.299,0.327,0.626,0.091,8.3,0.309,4.4,1.6,2.4,48,-17.0,0.277,68,10199
Dee Gordon,Mariners,588,1.5%,13.6%,0.11,0.268,0.288,0.349,0.637,0.081,7.1,0.304,2.5,0.2,0.8,50,-18.2,0.277,76,8203
Alcides Escobar,Royals,531,5.5%,13.9%,0.39,0.231,0.279,0.313,0.593,0.082,5.0,0.263,2.8,-0.8,0.5,39,-23.3,0.261,59,6310
Chris Davis,Orioles,522,7.9%,36.8%,0.21,0.168,0.243,0.296,0.539,0.128,2.2,0.237,-3.1,1.1,0.2,29,-32.3,0.239,44,9272
