Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Mookie Betts,Red Sox,614,13.2%,14.8%,0.89,0.346,0.438,0.640,1.078,0.294,7.0,0.368,2.7,1.1,3.1,139,67.2,0.449,185,13611
Mike Trout,Angels,608,20.1%,20.4%,0.98,0.312,0.460,0.628,1.088,0.316,5.9,0.346,0.0,1.5,3.5,136,65.4,0.447,190,10155
J.D. Martinez,Red Sox,649,10.6%,22.5%,0.47,0.330,0.402,0.629,1.031,0.299,4.0,0.375,-2.1,-2.4,0.4,136,59.7,0.427,170,6184
Christian Yelich,Brewers,651,10.4%,20.7%,0.50,0.326,0.402,0.598,1.000,0.272,6.8,0.373,4.2,-0.7,2.3,133,57.0,0.422,166,11477
Alex Bregman,Astros,705,13.6%,12.1%,1.13,0.286,0.394,0.532,0.926,0.246,3.6,0.289,3.6,-0.1,-0.1,129,46.5,0.396,156,17678
Jose Ramirez,Indians,698,15.2%,11.5%,1.33,0.270,0.387,0.552,0.939,0.282,6.2,0.252,4.0,4.1,3.9,125,43.7,0.391,146,13510
Nolan Arenado,Rockies,673,10.8%,18.1%,0.60,0.297,0.374,0.561,0.935,0.264,2.9,0.314,1.2,-0.4,-0.8,120,41.7,0.391,132,9777
Paul Goldschmidt,Diamondbacks,690,13.0%,25.1%,0.52,0.290,0.389,0.533,0.922,0.243,4.2,0.359,0.8,2.4,-0.7,123,42.4,0.390,146,9218
Brandon Nimmo,Mets,535,15.0%,26.2%,0.57,0.263,0.404,0.483,0.886,0.219,5.9,0.351,3.2,-0.3,-1.0,93,30.8,0.385,148,12927
Trevor Story,Rockies,656,7.2%,25.6%,0.28,0.291,0.348,0.567,0.914,0.276,6.3,0.345,-0.9,0.1,2.6,114,37.0,0.384,128,12564
Anthony Rendon,Nationals,597,9.2%,13.7%,0.67,0.308,0.374,0.535,0.909,0.227,3.2,0.323,3.7,1.8,-0.4,103,33.2,0.383,139,12861
Freddie Freeman,Braves,707,10.7%,18.7%,0.58,0.309,0.388,0.505,0.892,0.196,4.5,0.358,0.6,0.4,0.3,119,36.4,0.378,137,5361
Manny Machado,- - -,709,9.9%,14.7%,0.67,0.297,0.367,0.538,0.905,0.241,4.4,0.304,1.4,-1.8,1.6,119,35.9,0.377,140,11493
Eugenio Suarez,Reds,606,10.6%,23.4%,0.45,0.283,0.366,0.526,0.892,0.243,2.3,0.322,-2.7,-0.8,-0.6,101,30.5,0.376,135,12552
Bryce Harper,Nationals,695,18.7%,24.3%,0.77,0.249,0.393,0.496,0.889,0.247,3.7,0.289,-2.8,2.3,0.9,116,34.6,0.376,134,11579
Matt Carpenter,Cardinals,677,15.1%,23.3%,0.65,0.257,0.374,0.523,0.897,0.266,3.1,0.291,-1.5,2.8,0.0,113,33.5,0.375,140,8090
Jesus Aguilar,Brewers,566,10.2%,25.3%,0.41,0.274,0.352,0.539,0.890,0.264,1.3,0.309,-2.4,-0.9,-0.3,93,27.3,0.374,134,11342
Xander Bogaerts,Red Sox,580,9.5%,17.6%,0.54,0.288,0.360,0.522,0.883,0.234,4.3,0.317,-1.2,-1.0,0.5,95,27.5,0.373,133,12161
Joey Votto,Reds,623,17.3%,16.2%,1.07,0.284,0.417,0.419,0.837,0.135,2.7,0.333,-3.0,-0.7,-0.1,101,28.0,0.370,130,4314
Matt Chapman,Athletics,616,9.4%,23.7%,0.40,0.278,0.356,0.508,0.864,0.230,4.5,0.338,5.4,-1.8,-1.0,99,27.4,0.369,138,16505
Francisco Lindor,Indians,745,9.4%,14.4%,0.65,0.277,0.352,0.519,0.871,0.242,5.4,0.279,-0.3,1.0,0.5,120,32.6,0.368,130,12916
David Peralta,Diamondbacks,614,7.8%,20.2%,0.39,0.293,0.352,0.516,0.868,0.223,4.2,0.328,0.9,-1.0,0.4,99,26.9,0.368,131,2136
Charlie Blackmon,Rockies,696,8.5%,19.3%,0.44,0.291,0.358,0.502,0.860,0.211,6.1,0.329,1.2,-0.1,0.3,111,30.1,0.368,117,7859
Mitch Haniger,Mariners,683,10.2%,21.7%,0.47,0.285,0.366,0.493,0.859,0.208,4.5,0.336,-1.0,0.7,0.4,109,28.9,0.367,137,14274
Javier Baez,Cubs,645,4.5%,25.9%,0.17,0.290,0.326,0.554,0.881,0.264,7.1,0.347,2.9,0.8,0.2,103,27.2,0.366,131,12979
Khris Davis,Athletics,654,9.0%,26.8%,0.34,0.247,0.326,0.549,0.874,0.302,2.1,0.261,-3.1,-1.4,-0.3,103,27.0,0.365,136,9112
Jose Altuve,Astros,599,9.2%,13.2%,0.70,0.316,0.386,0.451,0.837,0.135,5.0,0.352,3.7,-0.3,1.3,94,23.8,0.363,134,5417
Rhys Hoskins,Phillies,660,13.2%,22.7%,0.58,0.246,0.354,0.496,0.850,0.251,2.6,0.272,0.8,1.9,-0.6,103,26.2,0.363,128,16472
Nicholas Castellanos,Tigers,678,7.2%,22.3%,0.32,0.298,0.354,0.500,0.854,0.202,3.8,0.361,1.6,2.0,-0.4,106,26.7,0.363,130,11737
Scooter Gennett,Reds,638,6.6%,19.6%,0.34,0.310,0.357,0.490,0.847,0.180,3.7,0.358,0.3,0.2,-0.4,99,24.5,0.362,125,10339
